Country,Age,Year,Unit,Labour force participation rate,Unemployment rate
Czech Republic,15 to 64,2014,Percentage,73.51776499,6.19388623
Czech Republic,15 to 64,2015,Percentage,74.02491493,5.130561632
Czech Republic,15 to 64,2016,Percentage,75.0001435,4.026550273
Czech Republic,15 to 64,2017,Percentage,75.87765859,2.940991493
Czech Republic,15 to 64,2018,Percentage,76.56859695,2.284103511
Denmark,15 to 64,2009,Percentage,78.6520598,6.427314879
Denmark,15 to 64,2010,Percentage,77.95369535,7.763171609
Denmark,15 to 64,2011,Percentage,77.79200798,7.868243913
Denmark,15 to 64,2012,Percentage,77.20067955,7.889280692
Denmark,15 to 64,2013,Percentage,76.52562652,7.444124585
Denmark,15 to 64,2014,Percentage,76.55232166,7.034838907
Denmark,15 to 64,2015,Percentage,76.90973547,6.269511771
Denmark,15 to 64,2016,Percentage,77.42548732,5.945429733
Denmark,15 to 64,2017,Percentage,77.88541779,5.890499748
Denmark,15 to 64,2018,Percentage,78.1987996,4.985611881
Finland,15 to 64,2009,Percentage,75.18330513,8.32708177
Finland,15 to 64,2010,Percentage,74.6344207,8.51544838
Finland,15 to 64,2011,Percentage,75.1271905,7.863054929
Finland,15 to 64,2012,Percentage,75.39029236,7.756024096
Finland,15 to 64,2013,Percentage,75.32060416,8.286038593
Finland,15 to 64,2014,Percentage,75.47980521,8.728652751
Finland,15 to 64,2015,Percentage,75.94936709,9.507575758
Finland,15 to 64,2016,Percentage,76.03872237,8.946171064
Finland,15 to 64,2017,Percentage,76.857613,8.777300489
Finland,15 to 64,2018,Percentage,78.03844657,7.471108322
France,15 to 64,2009,Percentage,69.92103724,9.135587313
France,15 to 64,2010,Percentage,69.98420605,9.291021457
France,15 to 64,2011,Percentage,69.85170983,9.256106459
France,15 to 64,2012,Percentage,70.45526361,9.842682674
France,15 to 64,2013,Percentage,70.88607595,10.36057692
France,15 to 64,2014,Percentage,71.01438673,10.34920853
France,15 to 64,2015,Percentage,71.25613898,10.44131262
France,15 to 64,2016,Percentage,71.42402974,10.14175169
France,15 to 64,2017,Percentage,71.51892552,9.48202274
France,15 to 64,2018,Percentage,71.93509762,9.148039948
Germany,15 to 64,2009,Percentage,76.36630281,7.834795926
Germany,15 to 64,2010,Percentage,76.64187312,7.160752074
Germany,15 to 64,2011,Percentage,77.31726417,5.911415232
Germany,15 to 64,2012,Percentage,77.22143865,5.462174503
Germany,15 to 64,2013,Percentage,77.62048823,5.326633166
Germany,15 to 64,2014,Percentage,77.74278016,5.076637704
Germany,15 to 64,2015,Percentage,77.63213384,4.720832786
Germany,15 to 64,2016,Percentage,77.93652634,4.212946021
Germany,15 to 64,2017,Percentage,78.24469443,3.829520938
Germany,15 to 64,2018,Percentage,78.6457181,3.464468325
Greece,15 to 64,2009,Percentage,67.42703147,9.770976912
Greece,15 to 64,2010,Percentage,67.83654429,12.90739881
Greece,15 to 64,2011,Percentage,67.25727461,18.10811267
Greece,15 to 64,2012,Percentage,67.46984961,24.69481136
Greece,15 to 64,2013,Percentage,67.47266786,27.69536275
Greece,15 to 64,2014,Percentage,67.42650457,26.70200131
Greece,15 to 64,2015,Percentage,67.80893535,25.11559339
Greece,15 to 64,2016,Percentage,68.21654171,23.70415342
Greece,15 to 64,2017,Percentage,68.26542968,21.65316597
Greece,15 to 64,2018,Percentage,68.17620814,19.45272754
Hungary,15 to 64,2009,Percentage,61.22536589,10.09407271
Hungary,15 to 64,2010,Percentage,61.91805225,11.25203796
Hungary,15 to 64,2011,Percentage,62.36567253,11.11667948
Hungary,15 to 64,2012,Percentage,63.71336381,11.0735974
Hungary,15 to 64,2013,Percentage,64.69729842,10.23882049
Hungary,15 to 64,2014,Percentage,66.98290834,7.766220245
Hungary,15 to 64,2015,Percentage,68.64420588,6.847836998
Hungary,15 to 64,2016,Percentage,70.13491978,5.14805424
Hungary,15 to 64,2017,Percentage,71.15767618,4.194950455
Hungary,15 to 64,2018,Percentage,71.94344227,3.748221675
Iceland,15 to 64,2009,Percentage,85.27785532,7.426720573
Iceland,15 to 64,2010,Percentage,85.46239884,7.724112289
Iceland,15 to 64,2011,Percentage,85.15235866,7.181291151
Iceland,15 to 64,2012,Percentage,85.49821717,6.153987986
Iceland,15 to 64,2013,Percentage,86.57288556,5.500239442
Iceland,15 to 64,2014,Percentage,86.67205247,5.120762563
Iceland,15 to 64,2015,Percentage,87.88693222,4.162373378
Iceland,15 to 64,2016,Percentage,89.04930836,3.124158338
Iceland,15 to 64,2017,Percentage,88.32847995,2.910420775
Iceland,15 to 64,2018,Percentage,87.28317155,2.801352484
Ireland,15 to 64,2009,Percentage,73.00367876,12.79003364
Ireland,15 to 64,2010,Percentage,71.57076237,14.72869544
Ireland,15 to 64,2011,Percentage,71.19325592,15.64896641
Ireland,15 to 64,2012,Percentage,71.13034667,15.75025723
Ireland,15 to 64,2013,Percentage,71.80734248,14.02004482
Ireland,15 to 64,2014,Percentage,71.84632539,12.11849166
Ireland,15 to 64,2015,Percentage,72.05488223,10.13694053
Ireland,15 to 64,2016,Percentage,72.66214375,8.520664177
Ireland,15 to 64,2017,Percentage,72.63261665,6.765717181
Ireland,15 to 64,2018,Percentage,72.87851036,5.599491979
Italy,15 to 64,2009,Percentage,62.26095089,7.853289771
Italy,15 to 64,2010,Percentage,62.01385801,8.475518232
Italy,15 to 64,2011,Percentage,62.05364229,8.47541459
Italy,15 to 64,2012,Percentage,63.49753233,10.80538563
Italy,15 to 64,2013,Percentage,63.35284709,12.33447486
Italy,15 to 64,2014,Percentage,63.93926388,12.89884999
Italy,15 to 64,2015,Percentage,64.03756288,12.09871591
Italy,15 to 64,2016,Percentage,64.94097447,11.89241448
Italy,15 to 64,2017,Percentage,65.43358796,11.4287312
Italy,15 to 64,2018,Percentage,65.63502651,10.82417184
Japan,15 to 64,2009,Percentage,73.92209701,5.269262635
Japan,15 to 64,2010,Percentage,74.02613412,5.295587011
Japan,15 to 64,2011,Percentage,73.79658385,4.751884973
Japan,15 to 64,2012,Percentage,73.93359035,4.558452481
Japan,15 to 64,2013,Percentage,74.86111111,4.250295159
Japan,15 to 64,2014,Percentage,75.50288277,3.767181402
Japan,15 to 64,2015,Percentage,75.94706798,3.518961394
Japan,15 to 64,2016,Percentage,76.85755471,3.273657289
Japan,15 to 64,2017,Percentage,77.54404418,2.950152594
Japan,15 to 64,2018,Percentage,78.8532839,2.569269521
Korea,15 to 64,2009,Percentage,65.51192898,3.807309566
Korea,15 to 64,2010,Percentage,65.88746767,3.79137391
Korea,15 to 64,2011,Percentage,66.21974348,3.478843125
Korea,15 to 64,2012,Percentage,66.52997314,3.285577428
Korea,15 to 64,2013,Percentage,66.77829148,3.219322528
Korea,15 to 64,2014,Percentage,68.02445942,3.612993136
Korea,15 to 64,2015,Percentage,68.43626616,3.69114162
Korea,15 to 64,2016,Percentage,68.68374927,3.797298212
Korea,15 to 64,2017,Percentage,69.23625677,3.765282143
Korea,15 to 64,2018,Percentage,69.341149,3.933026848
Luxembourg,15 to 64,2009,Percentage,68.7379486,5.156872606
Luxembourg,15 to 64,2010,Percentage,68.21207996,4.397232367
Luxembourg,15 to 64,2011,Percentage,67.9482236,4.933573257
Luxembourg,15 to 64,2012,Percentage,69.43533017,5.190046674
Luxembourg,15 to 64,2013,Percentage,69.85342495,5.908818766
Luxembourg,15 to 64,2014,Percentage,70.80417784,5.886654428
Luxembourg,15 to 64,2015,Percentage,70.87806821,6.705705914
Luxembourg,15 to 64,2016,Percentage,69.9659702,6.306768812
Luxembourg,15 to 64,2017,Percentage,70.15297038,5.518608043
Luxembourg,15 to 64,2018,Percentage,71.07953192,5.610575389
Mexico,15 to 64,2009,Percentage,63.30859985,5.563094309
Mexico,15 to 64,2010,Percentage,63.1380368,5.506783793
Mexico,15 to 64,2011,Percentage,63.43107725,5.365221558
Mexico,15 to 64,2012,Percentage,64.17354763,5.085063551
Mexico,15 to 64,2013,Percentage,64.11613596,5.104595555
Mexico,15 to 64,2014,Percentage,63.58953659,5.002934609
Mexico,15 to 64,2015,Percentage,63.61087478,4.501937376
Mexico,15 to 64,2016,Percentage,63.6156565,4.035511367
Mexico,15 to 64,2017,Percentage,63.39096923,3.568063222
Mexico,15 to 64,2018,Percentage,63.71747535,3.432701167
Netherlands,15 to 64,2009,Percentage,78.22903151,4.392318937
Netherlands,15 to 64,2010,Percentage,77.90284217,5.034102861
Netherlands,15 to 64,2011,Percentage,78.06401696,5.010789649
Netherlands,15 to 64,2012,Percentage,79.00344727,5.869672588
Netherlands,15 to 64,2013,Percentage,79.37970795,7.307291935
Netherlands,15 to 64,2014,Percentage,79.02307768,7.474314339
Netherlands,15 to 64,2015,Percentage,79.62213327,6.921902761
Netherlands,15 to 64,2016,Percentage,79.6696093,6.05830405
Netherlands,15 to 64,2017,Percentage,79.72680944,4.863896086
Netherlands,15 to 64,2018,Percentage,80.2522591,3.830758177
New Zealand,15 to 64,2009,Percentage,77.69748641,6.301606021
New Zealand,15 to 64,2010,Percentage,77.44043035,6.744867997
New Zealand,15 to 64,2011,Percentage,77.74647908,6.714081237
New Zealand,15 to 64,2012,Percentage,77.57002822,7.199820766
New Zealand,15 to 64,2013,Percentage,77.50129683,5.997142175
New Zealand,15 to 64,2014,Percentage,78.65764039,5.590089038
New Zealand,15 to 64,2015,Percentage,78.69782677,5.589452621
New Zealand,15 to 64,2016,Percentage,79.85935435,5.328779524
New Zealand,15 to 64,2017,Percentage,80.89299497,4.940490512
New Zealand,15 to 64,2018,Percentage,81.0952096,4.488640843
Norway,15 to 64,2009,Percentage,78.89679511,3.150738197
Norway,15 to 64,2010,Percentage,78.11856789,3.598627773
Norway,15 to 64,2011,Percentage,77.84643035,3.292010866
Norway,15 to 64,2012,Percentage,78.2483847,3.204768161
Norway,15 to 64,2013,Percentage,78.15738128,3.50911775
Norway,15 to 64,2014,Percentage,78.01640262,3.580184347
Norway,15 to 64,2015,Percentage,78.24292849,4.420588751
Norway,15 to 64,2016,Percentage,78.0465976,4.812131098
Norway,15 to 64,2017,Percentage,77.31424459,4.271553627
Norway,15 to 64,2018,Percentage,77.86798856,3.920438674
Poland,15 to 64,2009,Percentage,64.69248205,8.269900052
Poland,15 to 64,2010,Percentage,65.31512532,9.748323341
Poland,15 to 64,2011,Percentage,65.73345575,9.756313169
Poland,15 to 64,2012,Percentage,66.48831019,10.21485552
Poland,15 to 64,2013,Percentage,66.9973125,10.45574681
Poland,15 to 64,2014,Percentage,67.85715694,9.105695754
Poland,15 to 64,2015,Percentage,68.09875652,7.598047699
Poland,15 to 64,2016,Percentage,68.80904081,6.244360315
Poland,15 to 64,2017,Percentage,69.57826014,4.966869692
Poland,15 to 64,2018,Percentage,70.1303105,3.910155757
Portugal,15 to 64,2009,Percentage,73.42542923,10.00193773
Portugal,15 to 64,2010,Percentage,73.67437763,11.41137055
Portugal,15 to 64,2011,Percentage,73.63157011,13.33826356
Portugal,15 to 64,2012,Percentage,73.40721751,16.33411301
Portugal,15 to 64,2013,Percentage,73.04299778,17.00267477
Portugal,15 to 64,2014,Percentage,73.2367831,14.49959801
Portugal,15 to 64,2015,Percentage,73.39908033,12.94122408
Portugal,15 to 64,2016,Percentage,73.72710541,11.5038871
Portugal,15 to 64,2017,Percentage,74.66061958,9.179773936
Portugal,15 to 64,2018,Percentage,75.13928884,7.260268478
Slovak Republic,15 to 64,2009,Percentage,68.43251574,12.09128818
Slovak Republic,15 to 64,2010,Percentage,68.65014233,14.41413904
Slovak Republic,15 to 64,2011,Percentage,68.70656283,13.65800478
Slovak Republic,15 to 64,2012,Percentage,69.4209261,13.99413708
Slovak Republic,15 to 64,2013,Percentage,69.84625259,14.2615183
Slovak Republic,15 to 64,2014,Percentage,70.25833634,13.21652403
Slovak Republic,15 to 64,2015,Percentage,70.90657537,11.53866666
Slovak Republic,15 to 64,2016,Percentage,71.83716197,9.698990827
Slovak Republic,15 to 64,2017,Percentage,72.09526843,8.198008537
Slovak Republic,15 to 64,2018,Percentage,72.36187517,6.607804325
Spain,15 to 64,2009,Percentage,74.12807035,17.95694059
Spain,15 to 64,2010,Percentage,74.55392973,19.97520026
Spain,15 to 64,2011,Percentage,74.92485925,21.51814094
Spain,15 to 64,2012,Percentage,75.28467727,24.93216696
Spain,15 to 64,2013,Percentage,75.31136549,26.2192872
Spain,15 to 64,2014,Percentage,75.2642239,24.56016391
Spain,15 to 64,2015,Percentage,75.45164008,22.17950984
Spain,15 to 64,2016,Percentage,75.35995216,19.74644798
Spain,15 to 64,2017,Percentage,75.06734482,17.33074551
Spain,15 to 64,2018,Percentage,74.90420207,15.35034337
Sweden,15 to 64,2009,Percentage,78.88629641,8.45794373
Sweden,15 to 64,2010,Percentage,79.0454188,8.74738304
Sweden,15 to 64,2011,Percentage,79.93716044,7.938912545
Sweden,15 to 64,2012,Percentage,80.30275755,8.133444741
Sweden,15 to 64,2013,Percentage,81.09336318,8.217079314
Sweden,15 to 64,2014,Percentage,81.51003024,8.117240137
Sweden,15 to 64,2015,Percentage,81.73473016,7.574013834
Sweden,15 to 64,2016,Percentage,82.04897001,7.106419743
Sweden,15 to 64,2017,Percentage,82.48301718,6.81222037
Sweden,15 to 64,2018,Percentage,82.72513737,6.467225591
Switzerland,15 to 64,2009,Percentage,82.49353442,4.20925066
Switzerland,15 to 64,2010,Percentage,81.29963427,4.922606031
Switzerland,15 to 64,2011,Percentage,82.05104421,4.518142187
Switzerland,15 to 64,2012,Percentage,82.28598201,4.607725212
Switzerland,15 to 64,2013,Percentage,82.39812814,4.879900049
Switzerland,15 to 64,2014,Percentage,82.88102449,4.97449975
Switzerland,15 to 64,2015,Percentage,83.28790935,4.919996043
Switzerland,15 to 64,2016,Percentage,83.87301472,5.086142806
Switzerland,15 to 64,2017,Percentage,83.95050107,4.963285719
Switzerland,15 to 64,2018,Percentage,84.2076572,4.872937501
Turkey,15 to 64,2009,Percentage,51.66214165,14.33005048
Turkey,15 to 64,2010,Percentage,52.67808306,12.12859425
Turkey,15 to 64,2011,Percentage,53.81518642,10.00498715
Turkey,15 to 64,2012,Percentage,53.97904276,9.410133413
Turkey,15 to 64,2013,Percentage,54.97589737,9.924272619
Turkey,15 to 64,2014,Percentage,55.1120091,10.09432283
Turkey,15 to 64,2015,Percentage,56.08848219,10.50775984
Turkey,15 to 64,2016,Percentage,56.97908094,11.1148433
Turkey,15 to 64,2017,Percentage,57.99465643,11.15076404
Turkey,15 to 64,2018,Percentage,58.52608428,11.18435719
United Kingdom,15 to 64,2009,Percentage,76.49536133,7.763050092
United Kingdom,15 to 64,2010,Percentage,75.99192488,7.773014392
United Kingdom,15 to 64,2011,Percentage,76.03697469,8.156798009
United Kingdom,15 to 64,2012,Percentage,76.62990377,8.042362439
United Kingdom,15 to 64,2013,Percentage,77.0955993,7.682251205
United Kingdom,15 to 64,2014,Percentage,77.17780269,6.382854625
United Kingdom,15 to 64,2015,Percentage,77.62807789,5.38642727
United Kingdom,15 to 64,2016,Percentage,77.70586289,4.978137043
United Kingdom,15 to 64,2017,Percentage,78.21339635,4.468894352
United Kingdom,15 to 64,2018,Percentage,78.32233485,4.254834472
United States,15 to 64,2009,Percentage,74.62424736,9.380186845
United States,15 to 64,2010,Percentage,73.90784683,9.767002562
United States,15 to 64,2011,Percentage,73.2918105,9.066708532
United States,15 to 64,2012,Percentage,73.10541367,8.164568138
United States,15 to 64,2013,Percentage,72.81069082,7.486827095
United States,15 to 64,2014,Percentage,72.69677369,6.254870735
United States,15 to 64,2015,Percentage,72.60601195,5.367123084
United States,15 to 64,2016,Percentage,72.95221968,4.933997692
United States,15 to 64,2017,Percentage,73.34251254,4.40608706
United States,15 to 64,2018,Percentage,73.62643216,3.937701834
OECD countries,15 to 64,2009,Percentage,70.65908406,8.543186541
OECD countries,15 to 64,2010,Percentage,70.59401209,8.70825373
OECD countries,15 to 64,2011,Percentage,70.60495299,8.312572857
OECD countries,15 to 64,2012,Percentage,70.89129784,8.29348212
OECD countries,15 to 64,2013,Percentage,71.06314303,8.229634568
OECD countries,15 to 64,2014,Percentage,71.19578884,7.644674382
OECD countries,15 to 64,2015,Percentage,71.40345201,7.060416376
OECD countries,15 to 64,2016,Percentage,71.76134523,6.638289945
OECD countries,15 to 64,2017,Percentage,72.11379108,6.091153713
OECD countries,15 to 64,2018,Percentage,72.46074943,5.646366993
Israel,15 to 64,2009,Percentage,71.17624384,9.620700887
Israel,15 to 64,2010,Percentage,71.34209989,8.592221257
Israel,15 to 64,2011,Percentage,70.97653428,7.233961233
Israel,15 to 64,2012,Percentage,71.47300419,6.957173367
Israel,15 to 64,2013,Percentage,71.58465471,6.315072762
Israel,15 to 64,2014,Percentage,72.18721998,5.988864117
Israel,15 to 64,2015,Percentage,72.1760699,5.342534643
Israel,15 to 64,2016,Percentage,72.12075128,4.89108795
Israel,15 to 64,2017,Percentage,72.1329141,4.289414659
Israel,15 to 64,2018,Percentage,71.96938353,4.091335657
Brazil,15 to 64,2009,Percentage,73.9450383,8.484030736
Brazil,15 to 64,2011,Percentage,71.79955871,6.863032715
Brazil,15 to 64,2012,Percentage,68.85478838,7.4262161
Brazil,15 to 64,2013,Percentage,69.18431371,7.340055874
Brazil,15 to 64,2014,Percentage,68.94441293,7.030505244
Brazil,15 to 64,2015,Percentage,69.57440598,8.922716773
Brazil,15 to 64,2016,Percentage,69.82880449,11.72298572
Brazil,15 to 64,2017,Percentage,70.12453423,12.76927639
Brazil,15 to 64,2018,Percentage,70.2251513,12.28631665
Chile,15 to 64,2009,Percentage,64.82222212,11.56543883
Chile,15 to 64,2010,Percentage,64.78031112,8.422252817
Chile,15 to 64,2011,Percentage,66.18875626,7.38433253
Chile,15 to 64,2012,Percentage,66.26942371,6.68630568
Chile,15 to 64,2013,Percentage,66.43737302,6.187891799
Chile,15 to 64,2014,Percentage,66.62756502,6.622284843
Chile,15 to 64,2015,Percentage,66.75687241,6.464094869
Chile,15 to 64,2016,Percentage,66.77853301,6.797221784
Chile,15 to 64,2017,Percentage,67.40400034,7.008573566
Chile,15 to 64,2018,Percentage,67.58022176,7.348014492
China,15 to 64,2010,Percentage,77.36830438,2.949935435
India,15 to 64,2010,Percentage,56.83920339,3.626122397
India,15 to 64,2012,Percentage,55.36699995,3.718371949
India,15 to 64,2018,Percentage,50.88491564,8.953842084
Slovenia,15 to 64,2009,Percentage,71.8452215,6.006162066
Slovenia,15 to 64,2010,Percentage,71.49733602,7.410740154
Slovenia,15 to 64,2011,Percentage,70.26468529,8.340204383
Slovenia,15 to 64,2012,Percentage,70.40533176,8.993702139
Slovenia,15 to 64,2013,Percentage,70.50638472,10.28419998
Slovenia,15 to 64,2014,Percentage,70.89788856,9.903849793
Slovenia,15 to 64,2015,Percentage,71.75343108,9.105565348
Slovenia,15 to 64,2016,Percentage,71.63193442,8.102002365
Slovenia,15 to 64,2017,Percentage,74.2141066,6.665804427
Slovenia,15 to 64,2018,Percentage,75.04873045,5.202433112
South Africa,15 to 64,2009,Percentage,57.46899496,23.67603671
South Africa,15 to 64,2010,Percentage,55.68383675,24.87019977
South Africa,15 to 64,2011,Percentage,55.73446442,24.78467758
South Africa,15 to 64,2012,Percentage,56.18103201,24.87019451
South Africa,15 to 64,2013,Percentage,56.77405248,24.73737667
South Africa,15 to 64,2014,Percentage,57.09223709,25.07927116
South Africa,15 to 64,2015,Percentage,58.51199112,25.34510264
South Africa,15 to 64,2016,Percentage,58.72272,26.71531785
South Africa,15 to 64,2017,Percentage,59.76456708,27.44974874
South Africa,15 to 64,2018,Percentage,59.33683294,27.1227883
Estonia,15 to 64,2009,Percentage,73.95849419,13.8081628
Estonia,15 to 64,2010,Percentage,73.80600722,17.06779388
Estonia,15 to 64,2011,Percentage,74.72777127,12.56600741
Estonia,15 to 64,2012,Percentage,74.83384006,10.19037492
Estonia,15 to 64,2013,Percentage,75.10447883,8.816822836
Estonia,15 to 64,2014,Percentage,75.19422393,7.496606211
Estonia,15 to 64,2015,Percentage,76.62663461,6.266633673
Estonia,15 to 64,2016,Percentage,77.36807745,6.939463454
Estonia,15 to 64,2017,Percentage,78.77511507,5.921909961
Estonia,15 to 64,2018,Percentage,79.02108035,5.422042954
Russian Federation,15 to 64,2009,Percentage,72.99523879,8.359178408
Russian Federation,15 to 64,2010,Percentage,72.65233133,7.387282515
Russian Federation,15 to 64,2011,Percentage,72.77505345,6.535818678
Russian Federation,15 to 64,2012,Percentage,72.96871517,5.483682028
Russian Federation,15 to 64,2013,Percentage,72.78821961,5.508757873
Russian Federation,15 to 64,2014,Percentage,73.12380419,5.182812221
Russian Federation,15 to 64,2015,Percentage,73.40858461,5.601252873
Russian Federation,15 to 64,2016,Percentage,74.12987147,5.567429038
Russian Federation,15 to 64,2017,Percentage,74.18760366,5.233019872
Russian Federation,15 to 64,2018,Percentage,74.58516416,4.838543958
Lithuania,15 to 64,2009,Percentage,69.60510825,13.99976678
Lithuania,15 to 64,2010,Percentage,70.24492281,18.06625571
Lithuania,15 to 64,2011,Percentage,71.37101802,15.66822262
Lithuania,15 to 64,2012,Percentage,71.81535334,13.64073927
Lithuania,15 to 64,2013,Percentage,72.41546069,11.97901514
Lithuania,15 to 64,2014,Percentage,73.71300143,10.89832766
Lithuania,15 to 64,2015,Percentage,74.13075443,9.316171636
Lithuania,15 to 64,2016,Percentage,75.46581781,8.062167971
Lithuania,15 to 64,2017,Percentage,75.94936067,7.299643708
Lithuania,15 to 64,2018,Percentage,77.3115172,6.334833065
Latvia,15 to 64,2009,Percentage,73.54861013,17.9612565
Latvia,15 to 64,2010,Percentage,72.95336665,19.81022582
Latvia,15 to 64,2011,Percentage,72.83914136,16.50387317
Latvia,15 to 64,2012,Percentage,74.40922552,15.34255512
Latvia,15 to 64,2013,Percentage,73.98770341,12.10712303
Latvia,15 to 64,2014,Percentage,74.55872366,11.09534425
Latvia,15 to 64,2015,Percentage,75.72980508,10.07684319
Latvia,15 to 64,2016,Percentage,76.29892514,9.90062369
Latvia,15 to 64,2017,Percentage,76.95891775,8.911391199
Latvia,15 to 64,2018,Percentage,77.69725933,7.593165139
Colombia,15 to 64,2009,Percentage,71.13756094,12.3472763
Colombia,15 to 64,2010,Percentage,72.42779531,12.10684359
Colombia,15 to 64,2011,Percentage,73.23071097,11.11345222
Colombia,15 to 64,2012,Percentage,74.21971887,10.68928866
Colombia,15 to 64,2013,Percentage,73.89120633,9.948740176
Colombia,15 to 64,2014,Percentage,74.0094718,9.387286369
Colombia,15 to 64,2015,Percentage,74.47546665,9.191795551
Colombia,15 to 64,2016,Percentage,74.26068256,9.53461376
Colombia,15 to 64,2017,Percentage,74.14580395,9.720730689
Colombia,15 to 64,2018,Percentage,73.75057212,10.00615285
Indonesia,15 to 64,2009,Percentage,69.44333573,8.361248205
Indonesia,15 to 64,2010,Percentage,69.81752244,7.525237098
Indonesia,15 to 64,2011,Percentage,70.54184299,7.424049438
Indonesia,15 to 64,2012,Percentage,70.90361509,6.507083333
Indonesia,15 to 64,2013,Percentage,70.18113683,6.269993674
Indonesia,15 to 64,2014,Percentage,70.04112343,6.056466848
Indonesia,15 to 64,2015,Percentage,69.84554568,6.259214808
Indonesia,15 to 64,2016,Percentage,69.3680684,5.715089454
Indonesia,15 to 64,2017,Percentage,70.01351012,5.599394858
Indonesia,15 to 64,2018,Percentage,69.45846823,5.59233197
Costa Rica,15 to 64,2009,Percentage,66.51342802,7.831097991
Costa Rica,15 to 64,2010,Percentage,65.57152462,9.068541792
Costa Rica,15 to 64,2011,Percentage,64.88599551,10.46969647
Costa Rica,15 to 64,2012,Percentage,68.89562669,10.28554676
Costa Rica,15 to 64,2013,Percentage,68.24050897,9.479807226
Costa Rica,15 to 64,2014,Percentage,68.43192939,9.780438469
Costa Rica,15 to 64,2015,Percentage,67.29817889,9.820065498
Costa Rica,15 to 64,2016,Percentage,65.00711458,9.685067325
Costa Rica,15 to 64,2017,Percentage,65.87985655,9.248263146
Costa Rica,15 to 64,2018,Percentage,68.12562674,10.51841014
