"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NZL","GDP","TOT","USD_CAP","A","2018",44463.052653,"P"
"NZL","GDP","TOT","USD_CAP","A","2019",45163.302121,"E"
"NOR","GDP","TOT","USD_CAP","A","2016",58923.240139,
"NOR","GDP","TOT","USD_CAP","A","2017",64254.892618,
"NOR","GDP","TOT","USD_CAP","A","2018",71909.299582,
"NOR","GDP","TOT","USD_CAP","A","2019",70381.790905,
"POL","GDP","TOT","USD_CAP","A","2016",27985.340009,
"POL","GDP","TOT","USD_CAP","A","2017",29809.475756,
"POL","GDP","TOT","USD_CAP","A","2018",32611.366209,
"POL","GDP","TOT","USD_CAP","A","2019",34781.291291,
"PRT","GDP","TOT","USD_CAP","A","2016",31607.610185,
"PRT","GDP","TOT","USD_CAP","A","2017",33150.218631,
"PRT","GDP","TOT","USD_CAP","A","2018",36034.254183,
"PRT","GDP","TOT","USD_CAP","A","2019",37856.227067,"P"
"SVK","GDP","TOT","USD_CAP","A","2016",29659.331169,
"SVK","GDP","TOT","USD_CAP","A","2017",30194.101459,
"SVK","GDP","TOT","USD_CAP","A","2018",32557.961239,
"SVK","GDP","TOT","USD_CAP","A","2019",33520.991733,
"ESP","GDP","TOT","USD_CAP","A","2016",37313.634913,
"ESP","GDP","TOT","USD_CAP","A","2017",39706.576006,
"ESP","GDP","TOT","USD_CAP","A","2018",42067.248749,"P"
"ESP","GDP","TOT","USD_CAP","A","2019",43470.590259,"P"
"SWE","GDP","TOT","USD_CAP","A","2016",50430.174559,
"SWE","GDP","TOT","USD_CAP","A","2017",52113.823276,
"SWE","GDP","TOT","USD_CAP","A","2018",55243.370018,
"SWE","GDP","TOT","USD_CAP","A","2019",56701.10903,
"CHE","GDP","TOT","USD_CAP","A","2016",68105.138178,
"CHE","GDP","TOT","USD_CAP","A","2017",69324.22951,
"CHE","GDP","TOT","USD_CAP","A","2018",73968.515861,
"CHE","GDP","TOT","USD_CAP","A","2019",75294.810274,
"TUR","GDP","TOT","USD_CAP","A","2016",26695.909373,
"TUR","GDP","TOT","USD_CAP","A","2017",28283.087602,
"TUR","GDP","TOT","USD_CAP","A","2018",29155.185099,
"TUR","GDP","TOT","USD_CAP","A","2019",28422.872447,
"GBR","GDP","TOT","USD_CAP","A","2016",44125.534988,
"GBR","GDP","TOT","USD_CAP","A","2017",45903.892036,
"GBR","GDP","TOT","USD_CAP","A","2018",48651.565787,
"GBR","GDP","TOT","USD_CAP","A","2019",49912.445553,
"USA","GDP","TOT","USD_CAP","A","2016",58000.888034,
"USA","GDP","TOT","USD_CAP","A","2017",60091.568784,
"USA","GDP","TOT","USD_CAP","A","2018",63043.046469,
"USA","GDP","TOT","USD_CAP","A","2019",65240.379025,
"CHL","GDP","TOT","USD_CAP","A","2016",23349.677001,
"CHL","GDP","TOT","USD_CAP","A","2017",24479.277257,
"CHL","GDP","TOT","USD_CAP","A","2018",25456.709845,
"CHL","GDP","TOT","USD_CAP","A","2019",26879.861939,
"COL","GDP","TOT","USD_CAP","A","2016",14102.51162,
"COL","GDP","TOT","USD_CAP","A","2017",14529.074384,
"COL","GDP","TOT","USD_CAP","A","2018",15450.976729,"P"
"COL","GDP","TOT","USD_CAP","A","2019",16480.109394,"E"
"EST","GDP","TOT","USD_CAP","A","2016",31574.446846,
"EST","GDP","TOT","USD_CAP","A","2017",34010.353709,
"EST","GDP","TOT","USD_CAP","A","2018",37554.962719,
"EST","GDP","TOT","USD_CAP","A","2019",40040.294485,
"ISR","GDP","TOT","USD_CAP","A","2016",37806.427116,
"ISR","GDP","TOT","USD_CAP","A","2017",38974.205487,
"ISR","GDP","TOT","USD_CAP","A","2018",41463.144275,
"ISR","GDP","TOT","USD_CAP","A","2019",42912.029012,
"SVN","GDP","TOT","USD_CAP","A","2016",33942.76789,
"SVN","GDP","TOT","USD_CAP","A","2017",36632.304883,
"SVN","GDP","TOT","USD_CAP","A","2018",40181.328064,
"SVN","GDP","TOT","USD_CAP","A","2019",42409.479796,
"OECD","GDP","TOT","USD_CAP","A","2016",41907.027097,
"OECD","GDP","TOT","USD_CAP","A","2017",43611.251847,
"OECD","GDP","TOT","USD_CAP","A","2018",46070.247306,"E"
"OECD","GDP","TOT","USD_CAP","A","2019",47359.214761,"E"
"LVA","GDP","TOT","USD_CAP","A","2016",26712.835239,
"LVA","GDP","TOT","USD_CAP","A","2017",28757.540113,
"LVA","GDP","TOT","USD_CAP","A","2018",31786.670879,
"LVA","GDP","TOT","USD_CAP","A","2019",33013.933501,
"LTU","GDP","TOT","USD_CAP","A","2016",30925.151813,
"LTU","GDP","TOT","USD_CAP","A","2017",33869.715253,
"LTU","GDP","TOT","USD_CAP","A","2018",37493.452149,
"LTU","GDP","TOT","USD_CAP","A","2019",39911.871525,
