LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
EST,GDP,TOT,USD_CAP,A,2016,31574.44685,
EST,GDP,TOT,USD_CAP,A,2017,34010.35371,
EST,GDP,TOT,USD_CAP,A,2018,37554.96272,
EST,GDP,TOT,USD_CAP,A,2019,40040.29449,
IND,GDP,TOT,USD_CAP,A,2016,5901.21084,
IDN,GDP,TOT,USD_CAP,A,2016,10610.14144,
IDN,GDP,TOT,USD_CAP,A,2017,11050.88237,
ISR,GDP,TOT,USD_CAP,A,2016,37806.42712,
ISR,GDP,TOT,USD_CAP,A,2017,38974.20549,
ISR,GDP,TOT,USD_CAP,A,2018,41463.14428,
ISR,GDP,TOT,USD_CAP,A,2019,42912.02901,
RUS,GDP,TOT,USD_CAP,A,2016,24128.08181,
RUS,GDP,TOT,USD_CAP,A,2017,26005.96756,
RUS,GDP,TOT,USD_CAP,A,2018,29328.01363,
RUS,GDP,TOT,USD_CAP,A,2019,30205.42895,
SVN,GDP,TOT,USD_CAP,A,2016,33942.76789,
SVN,GDP,TOT,USD_CAP,A,2017,36632.30488,
SVN,GDP,TOT,USD_CAP,A,2018,40181.32806,
SVN,GDP,TOT,USD_CAP,A,2019,42409.4798,
ZAF,GDP,TOT,USD_CAP,A,2016,12724.64328,
ZAF,GDP,TOT,USD_CAP,A,2017,12810.96554,
EU28,GDP,TOT,USD_CAP,A,2016,41013.1295,
EU28,GDP,TOT,USD_CAP,A,2017,43175.228,
EU28,GDP,TOT,USD_CAP,A,2018,46339.1903,
EU28,GDP,TOT,USD_CAP,A,2019,48060.1101,
OECD,GDP,TOT,USD_CAP,A,2016,41907.0271,
OECD,GDP,TOT,USD_CAP,A,2017,43611.25185,
OECD,GDP,TOT,USD_CAP,A,2018,46070.24731,E
OECD,GDP,TOT,USD_CAP,A,2019,47359.21476,E
OECDE,GDP,TOT,USD_CAP,A,2016,40561.85786,
OECDE,GDP,TOT,USD_CAP,A,2017,42617.06075,
OECDE,GDP,TOT,USD_CAP,A,2018,45516.31279,P
OECDE,GDP,TOT,USD_CAP,A,2019,46773.63477,P
LVA,GDP,TOT,USD_CAP,A,2016,26712.83524,
LVA,GDP,TOT,USD_CAP,A,2017,28757.54011,
LVA,GDP,TOT,USD_CAP,A,2018,31786.67088,
LVA,GDP,TOT,USD_CAP,A,2019,33013.9335,
BRA,GDP,TOT,USD_CAP,A,2016,14321.2508,
BRA,GDP,TOT,USD_CAP,A,2017,14592.10198,
LTU,GDP,TOT,USD_CAP,A,2016,30925.15181,
LTU,GDP,TOT,USD_CAP,A,2017,33869.71525,
LTU,GDP,TOT,USD_CAP,A,2018,37493.45215,
LTU,GDP,TOT,USD_CAP,A,2019,39911.87153,
SAU,GDP,TOT,USD_CAP,A,2016,45720.84934,
EA19,GDP,TOT,USD_CAP,A,2016,43562.81456,
EA19,GDP,TOT,USD_CAP,A,2017,45768.62944,
EA19,GDP,TOT,USD_CAP,A,2018,49045.9469,
EA19,GDP,TOT,USD_CAP,A,2019,50675.87812,
ARG,GDP,TOT,USD_CAP,A,2016,20307.87005,
ARG,GDP,TOT,USD_CAP,A,2017,23562.91884,
ARG,GDP,TOT,USD_CAP,A,2018,23414.92423,
ARG,GDP,TOT,USD_CAP,A,2019,23258.4745,
CRI,GDP,TOT,USD_CAP,A,2016,18651.86436,
CRI,GDP,TOT,USD_CAP,A,2017,19769.73812,E
CRI,GDP,TOT,USD_CAP,A,2018,20368.53304,E
CRI,GDP,TOT,USD_CAP,A,2019,21695.00248,E
BGR,GDP,TOT,USD_CAP,A,2016,20019.63863,
BGR,GDP,TOT,USD_CAP,A,2017,21455.57352,
BGR,GDP,TOT,USD_CAP,A,2018,23634.16792,
BGR,GDP,TOT,USD_CAP,A,2019,25312.30127,
HRV,GDP,TOT,USD_CAP,A,2016,24887.75328,
HRV,GDP,TOT,USD_CAP,A,2017,26851.04729,
HRV,GDP,TOT,USD_CAP,A,2018,29433.68365,
HRV,GDP,TOT,USD_CAP,A,2019,31133.09602,P
CYP,GDP,TOT,USD_CAP,A,2016,35719.03674,
CYP,GDP,TOT,USD_CAP,A,2017,38172.41595,
CYP,GDP,TOT,USD_CAP,A,2018,41753.78606,
CYP,GDP,TOT,USD_CAP,A,2019,42828.02471,P
MLT,GDP,TOT,USD_CAP,A,2016,39792.55992,
MLT,GDP,TOT,USD_CAP,A,2017,42629.98116,
MLT,GDP,TOT,USD_CAP,A,2018,45541.12577,
MLT,GDP,TOT,USD_CAP,A,2019,47638.07601,
ROU,GDP,TOT,USD_CAP,A,2016,24266.28396,
ROU,GDP,TOT,USD_CAP,A,2017,27222.72422,
ROU,GDP,TOT,USD_CAP,A,2018,30167.4867,
ROU,GDP,TOT,USD_CAP,A,2019,33316.1037,P
MKD,GDP,TOT,USD_CAP,A,2016,15137.9674,E
MKD,GDP,TOT,USD_CAP,A,2017,15756.58472,E
MKD,GDP,TOT,USD_CAP,A,2018,17253.63129,E
ZMB,GDP,TOT,USD_CAP,A,2016,3405.832772,
ZMB,GDP,TOT,USD_CAP,A,2017,3484.940724,
ZMB,GDP,TOT,USD_CAP,A,2018,3637.368088,
HKG,GDP,TOT,USD_CAP,A,2016,57221.96915,E
HKG,GDP,TOT,USD_CAP,A,2017,59846.81923,E
HKG,GDP,TOT,USD_CAP,A,2018,62556.2405,E
MDG,GDP,TOT,USD_CAP,A,2016,1624.383829,E
MDG,GDP,TOT,USD_CAP,A,2017,1601.521574,E
MDG,GDP,TOT,USD_CAP,A,2018,1655.481656,E
MAR,GDP,TOT,USD_CAP,A,2016,7312.810289,E
MAR,GDP,TOT,USD_CAP,A,2017,7581.215412,E
MAR,GDP,TOT,USD_CAP,A,2018,7928.326114,E
SGP,GDP,TOT,USD_CAP,A,2016,89396.72444,
SGP,GDP,TOT,USD_CAP,A,2017,94945.25089,
SGP,GDP,TOT,USD_CAP,A,2018,101280.4135,
