,Country,Year,Value_union,MEASURE,Age group,Value_gini_cpi
258,Sweden,2016,66.9,CPI2015,Total population,100.9843
262,Sweden,2016,66.7,CPI2010,Total population,104.6145071
267,Sweden,2016,66.7,CPI2015,Total population,100.9843
271,Sweden,2017,65.6,CPI2010,Total population,106.4917489
276,Sweden,2017,65.6,CPI2015,Total population,102.7964
280,Sweden,2017,66.1,CPI2010,Total population,106.4917489
285,Sweden,2017,66.1,CPI2015,Total population,102.7964
289,France,2009,8.8,CPI2010,Total population,98.49197065
294,France,2009,8.8,CPI2015,Total population,93.28667
298,France,2010,9.0,CPI2010,Total population,100.0
303,France,2010,9.0,CPI2015,Total population,94.715
307,France,2010,10.8,CPI2010,Total population,100.0
312,France,2010,10.8,CPI2015,Total population,94.715
316,France,2011,9.1,CPI2010,Total population,102.111598
321,France,2011,9.1,CPI2015,Total population,96.715
325,France,2012,9.1,CPI2010,Total population,104.107058
330,France,2012,9.1,CPI2015,Total population,98.605
334,France,2013,9.0,CPI2010,Total population,105.0062503
339,France,2013,9.0,CPI2015,Total population,99.45667
343,France,2013,11.0,CPI2010,Total population,105.0062503
348,France,2013,11.0,CPI2015,Total population,99.45667
352,France,2014,9.0,CPI2010,Total population,105.5394288
357,France,2014,9.0,CPI2015,Total population,99.96167
361,France,2015,9.0,CPI2010,Total population,105.5790213
366,France,2015,9.0,CPI2015,Total population,99.99917
370,France,2016,9.0,CPI2010,Total population,105.7725809
375,France,2016,9.0,CPI2015,Total population,100.1825
379,France,2016,10.8,CPI2010,Total population,105.7725809
384,France,2016,10.8,CPI2015,Total population,100.1825
388,France,2017,8.9,CPI2010,Total population,106.8644882
393,France,2017,8.9,CPI2015,Total population,101.2167
397,France,2018,8.8,CPI2010,Total population,108.84231640000002
402,France,2018,8.8,CPI2015,Total population,103.09
407,Norway,2009,49.8,CPI2010,Total population,97.63821201
408,Norway,2009,49.8,CPI2010,Total population,97.63821201
417,Norway,2009,49.8,CPI2015,Total population,89.91666
420,Norway,2009,49.8,CPI2015,Total population,89.91666
425,Norway,2010,50.0,CPI2010,Total population,100.0
426,Norway,2010,50.0,CPI2010,Total population,100.0
435,Norway,2010,50.0,CPI2015,Total population,92.09167
438,Norway,2010,50.0,CPI2015,Total population,92.09167
443,Norway,2011,49.3,CPI2010,Total population,101.2849479
444,Norway,2011,49.3,CPI2010,Total population,101.2849479
453,Norway,2011,49.3,CPI2015,Total population,93.275
456,Norway,2011,49.3,CPI2015,Total population,93.275
460,Norway,2012,49.3,CPI2010,Total population,101.9907664
465,Norway,2012,49.3,CPI2015,Total population,93.925
469,Norway,2013,49.3,CPI2010,Total population,104.1534593
474,Norway,2013,49.3,CPI2015,Total population,95.91666
478,Norway,2013,52.0,CPI2010,Total population,104.1534593
483,Norway,2013,52.0,CPI2015,Total population,95.91666
487,Norway,2014,49.7,CPI2010,Total population,106.2799708
492,Norway,2014,49.7,CPI2015,Total population,97.875
496,Norway,2014,54.0,CPI2010,Total population,106.2799708
501,Norway,2014,54.0,CPI2015,Total population,97.875
505,Norway,2015,49.3,CPI2010,Total population,108.5874542
510,Norway,2015,49.3,CPI2015,Total population,100.0
514,Norway,2016,49.3,CPI2010,Total population,112.4423088
519,Norway,2016,49.3,CPI2015,Total population,103.55
523,Norway,2016,52.0,CPI2010,Total population,112.4423088
528,Norway,2016,52.0,CPI2015,Total population,103.55
532,Norway,2017,49.3,CPI2010,Total population,114.5507514
537,Norway,2017,49.3,CPI2015,Total population,105.4917
541,Norway,2017,51.3,CPI2010,Total population,114.5507514
546,Norway,2017,51.3,CPI2015,Total population,105.4917
550,Norway,2018,49.2,CPI2010,Total population,117.7178131
555,Norway,2018,49.2,CPI2015,Total population,108.4083
560,Iceland,2011,83.4,CPI2010,Total population,104.0010243
561,Iceland,2011,83.4,CPI2010,Total population,104.0010243
570,Iceland,2011,83.4,CPI2015,Total population,88.25061
575,Iceland,2011,83.4,CPI2015,Total population,88.25061
578,Iceland,2011,85.0,CPI2010,Total population,104.0010243
579,Iceland,2011,85.0,CPI2010,Total population,104.0010243
588,Iceland,2011,85.0,CPI2015,Total population,88.25061
593,Iceland,2011,85.0,CPI2015,Total population,88.25061
596,Iceland,2013,87.8,CPI2010,Total population,113.6304627
597,Iceland,2013,87.8,CPI2010,Total population,113.6304627
606,Iceland,2013,87.8,CPI2015,Total population,96.42172
611,Iceland,2013,87.8,CPI2015,Total population,96.42172
614,Iceland,2013,88.9,CPI2010,Total population,113.6304627
615,Iceland,2013,88.9,CPI2010,Total population,113.6304627
624,Iceland,2013,88.9,CPI2015,Total population,96.42172
629,Iceland,2013,88.9,CPI2015,Total population,96.42172
631,Iceland,2015,90.0,CPI2010,Total population,117.8473716
638,Iceland,2015,90.0,CPI2015,Total population,100.0
640,Iceland,2015,91.6,CPI2010,Total population,117.8473716
647,Iceland,2015,91.6,CPI2015,Total population,100.0
649,Iceland,2016,89.8,CPI2010,Total population,119.8471237
656,Iceland,2016,89.8,CPI2015,Total population,101.6969
658,Iceland,2016,90.4,CPI2010,Total population,119.8471237
665,Iceland,2016,90.4,CPI2015,Total population,101.6969
667,Latvia,2009,15.1,CPI2010,Total population,101.0965275
673,Latvia,2009,15.1,CPI2010,Total population,101.0965275
678,Latvia,2009,15.1,CPI2015,Total population,94.00404
682,Latvia,2009,15.1,CPI2015,Total population,94.00404
685,Latvia,2010,15.0,CPI2010,Total population,100.0
691,Latvia,2010,15.0,CPI2010,Total population,100.0
696,Latvia,2010,15.0,CPI2015,Total population,92.98444
700,Latvia,2010,15.0,CPI2015,Total population,92.98444
703,Latvia,2011,13.6,CPI2010,Total population,104.370742
709,Latvia,2011,13.6,CPI2010,Total population,104.370742
714,Latvia,2011,13.6,CPI2015,Total population,97.04855
718,Latvia,2011,13.6,CPI2015,Total population,97.04855
721,Latvia,2012,13.1,CPI2010,Total population,106.7272116
727,Latvia,2012,13.1,CPI2010,Total population,106.7272116
732,Latvia,2012,13.1,CPI2015,Total population,99.2397
736,Latvia,2012,13.1,CPI2015,Total population,99.2397
739,Latvia,2013,12.8,CPI2010,Total population,106.6957762
745,Latvia,2013,12.8,CPI2010,Total population,106.6957762
750,Latvia,2013,12.8,CPI2015,Total population,99.21047
754,Latvia,2013,12.8,CPI2015,Total population,99.21047
757,Latvia,2014,12.7,CPI2010,Total population,107.35782240000002
763,Latvia,2014,12.7,CPI2015,Total population,99.82607
766,Latvia,2015,12.6,CPI2010,Total population,107.5448753
772,Latvia,2015,12.6,CPI2015,Total population,100.0
775,Latvia,2016,12.3,CPI2010,Total population,107.69608329999998
781,Latvia,2016,12.3,CPI2015,Total population,100.1406
784,Latvia,2017,12.2,CPI2010,Total population,110.8519877
790,Latvia,2017,12.2,CPI2015,Total population,103.0751
793,Latvia,2018,11.9,CPI2010,Total population,113.66149
799,Latvia,2018,11.9,CPI2015,Total population,105.6875
802,Estonia,2009,7.6,CPI2010,Total population,97.11373393
807,Estonia,2009,7.6,CPI2015,Total population,87.11739
811,Estonia,2009,7.7,CPI2010,Total population,97.11373393
816,Estonia,2009,7.7,CPI2015,Total population,87.11739
820,Estonia,2010,8.2,CPI2010,Total population,100.0
825,Estonia,2010,8.2,CPI2015,Total population,89.70656
829,Estonia,2010,8.1,CPI2010,Total population,100.0
834,Estonia,2010,8.1,CPI2015,Total population,89.70656
838,Estonia,2011,7.0,CPI2010,Total population,104.9818988
843,Estonia,2011,7.0,CPI2015,Total population,94.17565
847,Estonia,2011,7.0,CPI2010,Total population,104.9818988
852,Estonia,2011,7.0,CPI2015,Total population,94.17565
856,Estonia,2012,6.0,CPI2010,Total population,109.1112623
861,Estonia,2012,6.0,CPI2015,Total population,97.87996
865,Estonia,2012,6.1,CPI2010,Total population,109.1112623
870,Estonia,2012,6.1,CPI2015,Total population,97.87996
875,Estonia,2013,5.6,CPI2010,Total population,112.1451987
876,Estonia,2013,5.6,CPI2010,Total population,112.1451987
885,Estonia,2013,5.6,CPI2015,Total population,100.6016
889,Estonia,2013,5.6,CPI2015,Total population,100.6016
893,Estonia,2013,5.7,CPI2010,Total population,112.1451987
894,Estonia,2013,5.7,CPI2010,Total population,112.1451987
903,Estonia,2013,5.7,CPI2015,Total population,100.6016
907,Estonia,2013,5.7,CPI2015,Total population,100.6016
910,Estonia,2014,5.3,CPI2010,Total population,112.0261439
916,Estonia,2014,5.3,CPI2015,Total population,100.4948
919,Estonia,2014,5.5,CPI2010,Total population,112.0261439
925,Estonia,2014,5.5,CPI2015,Total population,100.4948
928,Estonia,2015,4.5,CPI2010,Total population,111.4745677
934,Estonia,2015,4.5,CPI2015,Total population,100.0
937,Estonia,2015,4.7,CPI2010,Total population,111.4745677
943,Estonia,2015,4.7,CPI2015,Total population,100.0
946,Estonia,2016,5.0,CPI2010,Total population,111.6403304
952,Estonia,2016,5.0,CPI2015,Total population,100.1487
955,Estonia,2016,4.4,CPI2010,Total population,111.6403304
961,Estonia,2016,4.4,CPI2015,Total population,100.1487
964,Estonia,2017,4.7,CPI2010,Total population,115.4553246
970,Estonia,2017,4.7,CPI2015,Total population,103.571
973,Estonia,2017,4.3,CPI2010,Total population,115.4553246
979,Estonia,2017,4.3,CPI2015,Total population,103.571
983,Switzerland,2009,17.3,CPI2010,Total population,99.31643012
984,Switzerland,2009,17.3,CPI2010,Total population,99.31643012
993,Switzerland,2009,17.3,CPI2015,Total population,101.166
998,Switzerland,2009,17.3,CPI2015,Total population,101.166
1000,Switzerland,2010,17.6,CPI2010,Total population,100.0
1007,Switzerland,2010,17.6,CPI2015,Total population,101.8623
1010,Switzerland,2011,17.0,CPI2010,Total population,100.2312926
1011,Switzerland,2011,17.0,CPI2010,Total population,100.2312926
1020,Switzerland,2011,17.0,CPI2015,Total population,102.0979
1025,Switzerland,2011,17.0,CPI2015,Total population,102.0979
1027,Switzerland,2012,16.6,CPI2010,Total population,99.53721838
1034,Switzerland,2012,16.6,CPI2015,Total population,101.3909
1036,Switzerland,2013,16.6,CPI2010,Total population,99.32084785
1043,Switzerland,2013,16.6,CPI2015,Total population,101.1705
1045,Switzerland,2014,16.1,CPI2010,Total population,99.30769284
1052,Switzerland,2014,16.1,CPI2015,Total population,101.1571
1054,Switzerland,2015,15.7,CPI2010,Total population,98.17174755
1061,Switzerland,2015,15.7,CPI2015,Total population,100.0
1063,Switzerland,2016,15.3,CPI2010,Total population,97.74508331
1070,Switzerland,2016,15.3,CPI2015,Total population,99.56539
1072,Switzerland,2017,14.9,CPI2010,Total population,98.26687597
1079,Switzerland,2017,14.9,CPI2015,Total population,100.0969
1081,Belgium,2009,54.9,CPI2010,Total population,97.85760515
1086,Belgium,2009,54.9,CPI2015,Total population,90.08366
1090,Belgium,2010,53.8,CPI2010,Total population,100.0
1095,Belgium,2010,53.8,CPI2015,Total population,92.05586
1099,Belgium,2011,55.1,CPI2010,Total population,103.5320837
1104,Belgium,2011,55.1,CPI2015,Total population,95.30735
1108,Belgium,2012,55.0,CPI2010,Total population,106.4720486
1113,Belgium,2012,55.0,CPI2015,Total population,98.01376
1117,Belgium,2013,55.1,CPI2010,Total population,107.6571768
1122,Belgium,2013,55.1,CPI2015,Total population,99.10474
1126,Belgium,2018,50.3,CPI2010,Total population,115.4516399
1131,Belgium,2018,50.3,CPI2015,Total population,106.28
1135,Israel,2012,23.4,CPI2010,Total population,105.2100122
1141,Israel,2012,23.4,CPI2015,Total population,98.60134
1144,Israel,2012,22.8,CPI2010,Total population,105.2100122
1150,Israel,2012,22.8,CPI2015,Total population,98.60134
1154,Canada,2009,30.7,CPI2010,Total population,98.25414078
1155,Canada,2009,30.7,CPI2010,Total population,98.25414078
1164,Canada,2009,30.7,CPI2015,Total population,90.41348
1167,Canada,2009,30.7,CPI2015,Total population,90.41348
1172,Canada,2009,27.3,CPI2010,Total population,98.25414078
1173,Canada,2009,27.3,CPI2010,Total population,98.25414078
1182,Canada,2009,27.3,CPI2015,Total population,90.41348
1185,Canada,2009,27.3,CPI2015,Total population,90.41348
1190,Canada,2010,30.1,CPI2010,Total population,100.0
1191,Canada,2010,30.1,CPI2010,Total population,100.0
1200,Canada,2010,30.1,CPI2015,Total population,92.02002
1203,Canada,2010,30.1,CPI2015,Total population,92.02002
1208,Canada,2010,27.2,CPI2010,Total population,100.0
1209,Canada,2010,27.2,CPI2010,Total population,100.0
1218,Canada,2010,27.2,CPI2015,Total population,92.02002
1221,Canada,2010,27.2,CPI2015,Total population,92.02002
1226,Canada,2011,29.8,CPI2010,Total population,102.9121272
1227,Canada,2011,29.8,CPI2010,Total population,102.9121272
1236,Canada,2011,29.8,CPI2015,Total population,94.69976
1239,Canada,2011,29.8,CPI2015,Total population,94.69976
1244,Canada,2011,26.9,CPI2010,Total population,102.9121272
1245,Canada,2011,26.9,CPI2010,Total population,102.9121272
1254,Canada,2011,26.9,CPI2015,Total population,94.69976
1257,Canada,2011,26.9,CPI2015,Total population,94.69976
1261,Canada,2012,29.8,CPI2010,Total population,104.4719508
1266,Canada,2012,29.8,CPI2015,Total population,96.13511
1270,Canada,2012,27.2,CPI2010,Total population,104.4719508
1275,Canada,2012,27.2,CPI2015,Total population,96.13511
1279,Canada,2013,29.2,CPI2010,Total population,105.452194
1284,Canada,2013,29.2,CPI2015,Total population,97.03713
1288,Canada,2013,27.1,CPI2010,Total population,105.452194
1293,Canada,2013,27.1,CPI2015,Total population,97.03713
1297,Canada,2014,29.3,CPI2010,Total population,107.46278909999998
1302,Canada,2014,29.3,CPI2015,Total population,98.88728
1306,Canada,2014,26.4,CPI2010,Total population,107.46278909999998
1311,Canada,2014,26.4,CPI2015,Total population,98.88728
1315,Canada,2015,29.4,CPI2010,Total population,108.67200420000002
1320,Canada,2015,29.4,CPI2015,Total population,100.0
1324,Canada,2015,26.5,CPI2010,Total population,108.67200420000002
1329,Canada,2015,26.5,CPI2015,Total population,100.0
1334,Ireland,2009,31.5,CPI2010,Total population,100.9306796
1335,Ireland,2009,31.5,CPI2010,Total population,100.9306796
1344,Ireland,2009,31.5,CPI2015,Total population,96.38674
1348,Ireland,2009,31.5,CPI2015,Total population,96.38674
1352,Ireland,2009,31.9,CPI2010,Total population,100.9306796
1353,Ireland,2009,31.9,CPI2010,Total population,100.9306796
1362,Ireland,2009,31.9,CPI2015,Total population,96.38674
1366,Ireland,2009,31.9,CPI2015,Total population,96.38674
1370,Ireland,2010,33.5,CPI2010,Total population,100.0
1371,Ireland,2010,33.5,CPI2010,Total population,100.0
1380,Ireland,2010,33.5,CPI2015,Total population,95.49796
1384,Ireland,2010,33.5,CPI2015,Total population,95.49796
1388,Ireland,2010,31.6,CPI2010,Total population,100.0
1389,Ireland,2010,31.6,CPI2010,Total population,100.0
1398,Ireland,2010,31.6,CPI2015,Total population,95.49796
1402,Ireland,2010,31.6,CPI2015,Total population,95.49796
1406,Ireland,2011,32.7,CPI2010,Total population,102.557196
1407,Ireland,2011,32.7,CPI2010,Total population,102.557196
1416,Ireland,2011,32.7,CPI2015,Total population,97.94003
1420,Ireland,2011,32.7,CPI2015,Total population,97.94003
1424,Ireland,2011,31.6,CPI2010,Total population,102.557196
1425,Ireland,2011,31.6,CPI2010,Total population,102.557196
1434,Ireland,2011,31.6,CPI2015,Total population,97.94003
1438,Ireland,2011,31.6,CPI2015,Total population,97.94003
1442,Ireland,2013,30.5,CPI2010,Total population,104.82737009999998
1443,Ireland,2013,30.5,CPI2010,Total population,104.82737009999998
1452,Ireland,2013,30.5,CPI2015,Total population,100.108
1456,Ireland,2013,30.5,CPI2015,Total population,100.108
1460,Ireland,2013,28.5,CPI2010,Total population,104.82737009999998
1461,Ireland,2013,28.5,CPI2010,Total population,104.82737009999998
1470,Ireland,2013,28.5,CPI2015,Total population,100.108
1474,Ireland,2013,28.5,CPI2015,Total population,100.108
1477,Ireland,2016,25.6,CPI2010,Total population,104.72297
1483,Ireland,2016,25.6,CPI2015,Total population,100.0083
1486,Ireland,2016,23.4,CPI2010,Total population,104.72297
1492,Ireland,2016,23.4,CPI2015,Total population,100.0083
1495,Ireland,2017,24.5,CPI2010,Total population,105.0796268
1501,Ireland,2017,24.5,CPI2015,Total population,100.3489
1504,Ireland,2017,24.3,CPI2010,Total population,105.0796268
1510,Ireland,2017,24.3,CPI2015,Total population,100.3489
1513,Chile,2009,14.4,CPI2010,Total population,98.60890177
1519,Chile,2009,14.4,CPI2010,Total population,98.60890177
1524,Chile,2009,14.4,CPI2015,Total population,83.28355
1527,Chile,2009,14.4,CPI2015,Total population,83.28355
1531,Chile,2011,14.5,CPI2010,Total population,103.3412169
1537,Chile,2011,14.5,CPI2010,Total population,103.3412169
1542,Chile,2011,14.5,CPI2015,Total population,87.28039
1545,Chile,2011,14.5,CPI2015,Total population,87.28039
1549,Chile,2013,14.8,CPI2010,Total population,108.3541197
1554,Chile,2013,14.8,CPI2015,Total population,91.51421
1558,Chile,2015,16.1,CPI2010,Total population,118.40141509999998
1563,Chile,2015,16.1,CPI2015,Total population,100.0
1567,Spain,2009,18.3,CPI2010,Total population,98.23193341
1574,Spain,2009,18.3,CPI2015,Total population,92.2262
1576,Spain,2009,19.9,CPI2010,Total population,98.23193341
1583,Spain,2009,19.9,CPI2015,Total population,92.2262
1585,Spain,2010,18.3,CPI2010,Total population,100.0
1592,Spain,2010,18.3,CPI2015,Total population,93.88617
1594,Spain,2010,18.9,CPI2010,Total population,100.0
1601,Spain,2010,18.9,CPI2015,Total population,93.88617
1603,Spain,2011,17.9,CPI2010,Total population,103.1961363
1610,Spain,2011,17.9,CPI2015,Total population,96.8869
1612,Spain,2012,18.2,CPI2010,Total population,105.7203207
1619,Spain,2012,18.2,CPI2015,Total population,99.25676
1621,Spain,2013,17.9,CPI2010,Total population,107.2094005
1628,Spain,2013,17.9,CPI2015,Total population,100.6548
1630,Spain,2014,16.8,CPI2010,Total population,107.0477153
1637,Spain,2014,16.8,CPI2015,Total population,100.503
1639,Spain,2015,15.2,CPI2010,Total population,106.5119602
1646,Spain,2015,15.2,CPI2015,Total population,100.0
1648,Spain,2016,14.8,CPI2010,Total population,106.2960924
1655,Spain,2016,14.8,CPI2015,Total population,99.79733
1657,Spain,2017,14.2,CPI2010,Total population,108.3753869
1664,Spain,2017,14.2,CPI2015,Total population,101.7495
1666,Spain,2018,13.6,CPI2010,Total population,110.1906703
1673,Spain,2018,13.6,CPI2015,Total population,103.4538
1676,Finland,2009,71.1,CPI2010,Total population,98.82971434
1677,Finland,2009,71.1,CPI2010,Total population,98.82971434
1686,Finland,2009,71.1,CPI2015,Total population,90.84034
1689,Finland,2009,71.1,CPI2015,Total population,90.84034
1694,Finland,2009,65.7,CPI2010,Total population,98.82971434
1695,Finland,2009,65.7,CPI2010,Total population,98.82971434
1704,Finland,2009,65.7,CPI2015,Total population,90.84034
1707,Finland,2009,65.7,CPI2015,Total population,90.84034
1712,Finland,2010,70.3,CPI2010,Total population,100.0
1713,Finland,2010,70.3,CPI2010,Total population,100.0
1722,Finland,2010,70.3,CPI2015,Total population,91.91602
1725,Finland,2010,70.3,CPI2015,Total population,91.91602
1730,Finland,2010,64.7,CPI2010,Total population,100.0
1731,Finland,2010,64.7,CPI2010,Total population,100.0
1740,Finland,2010,64.7,CPI2015,Total population,91.91602
1743,Finland,2010,64.7,CPI2015,Total population,91.91602
1748,Finland,2011,69.5,CPI2010,Total population,103.4168037
1749,Finland,2011,69.5,CPI2010,Total population,103.4168037
1758,Finland,2011,69.5,CPI2015,Total population,95.05661
1761,Finland,2011,69.5,CPI2015,Total population,95.05661
1766,Finland,2011,64.2,CPI2010,Total population,103.4168037
1767,Finland,2011,64.2,CPI2010,Total population,103.4168037
1776,Finland,2011,64.2,CPI2015,Total population,95.05661
1779,Finland,2011,64.2,CPI2015,Total population,95.05661
1784,Finland,2012,69.6,CPI2010,Total population,106.3210853
1785,Finland,2012,69.6,CPI2010,Total population,106.3210853
1794,Finland,2012,69.6,CPI2015,Total population,97.72611
1797,Finland,2012,69.6,CPI2015,Total population,97.72611
1802,Finland,2012,63.7,CPI2010,Total population,106.3210853
1803,Finland,2012,63.7,CPI2010,Total population,106.3210853
1812,Finland,2012,63.7,CPI2015,Total population,97.72611
1815,Finland,2012,63.7,CPI2015,Total population,97.72611
1819,Finland,2013,68.2,CPI2010,Total population,107.8928243
1824,Finland,2013,68.2,CPI2015,Total population,99.17079
1828,Finland,2013,63.5,CPI2010,Total population,107.8928243
1833,Finland,2013,63.5,CPI2015,Total population,99.17079
1837,Finland,2014,67.6,CPI2010,Total population,109.016252
1842,Finland,2014,67.6,CPI2015,Total population,100.2034
1846,Finland,2014,63.0,CPI2010,Total population,109.016252
1851,Finland,2014,63.0,CPI2015,Total population,100.2034
1855,Finland,2015,66.4,CPI2010,Total population,108.7895233
1860,Finland,2015,66.4,CPI2015,Total population,99.995
1864,Finland,2015,62.9,CPI2010,Total population,108.7895233
1869,Finland,2015,62.9,CPI2015,Total population,99.995
1873,Finland,2016,64.9,CPI2010,Total population,109.1775949
1878,Finland,2016,64.9,CPI2015,Total population,100.3517
1882,Finland,2016,60.3,CPI2010,Total population,109.1775949
1887,Finland,2016,60.3,CPI2015,Total population,100.3517
1891,Finland,2017,62.2,CPI2010,Total population,110.0007376
1896,Finland,2017,62.2,CPI2015,Total population,101.1083
1900,Finland,2017,58.1,CPI2010,Total population,110.0007376
1905,Finland,2017,58.1,CPI2015,Total population,101.1083
1909,Finland,2018,60.3,CPI2010,Total population,111.1930216
1914,Finland,2018,60.3,CPI2015,Total population,102.2042
1918,Luxembourg,2009,35.9,CPI2010,Total population,97.77687142
1923,Luxembourg,2009,35.9,CPI2015,Total population,89.53917
1927,Luxembourg,2010,35.1,CPI2010,Total population,100.0
1932,Luxembourg,2010,35.1,CPI2015,Total population,91.575
1936,Luxembourg,2010,40.0,CPI2010,Total population,100.0
1941,Luxembourg,2010,40.0,CPI2015,Total population,91.575
1945,Luxembourg,2011,35.1,CPI2010,Total population,103.4106798
1950,Luxembourg,2011,35.1,CPI2015,Total population,94.69833
1954,Luxembourg,2011,36.6,CPI2010,Total population,103.4106798
1959,Luxembourg,2011,36.6,CPI2015,Total population,94.69833
1963,Luxembourg,2012,35.3,CPI2010,Total population,106.1643462
1968,Luxembourg,2012,35.3,CPI2015,Total population,97.22
1972,Luxembourg,2012,35.2,CPI2010,Total population,106.1643462
1977,Luxembourg,2012,35.2,CPI2015,Total population,97.22
1981,Luxembourg,2013,34.8,CPI2010,Total population,108.0052744
1986,Luxembourg,2013,34.8,CPI2015,Total population,98.90583
1990,Luxembourg,2013,34.0,CPI2010,Total population,108.0052744
1995,Luxembourg,2013,34.0,CPI2015,Total population,98.90583
1999,Luxembourg,2015,33.3,CPI2010,Total population,109.2001092
2004,Luxembourg,2015,33.3,CPI2015,Total population,100.0
2008,Luxembourg,2016,32.3,CPI2010,Total population,109.5176631
2013,Luxembourg,2016,32.3,CPI2015,Total population,100.2908
2017,Luxembourg,2017,32.1,CPI2010,Total population,111.4132678
2022,Luxembourg,2017,32.1,CPI2015,Total population,102.0267
2026,Luxembourg,2018,31.8,CPI2010,Total population,113.1158067
2031,Luxembourg,2018,31.8,CPI2015,Total population,103.5858
2035,Korea,2009,9.9,CPI2010,Total population,97.14473991
2040,Korea,2009,9.9,CPI2015,Total population,88.4515
2044,Korea,2009,12.2,CPI2010,Total population,97.14473991
2049,Korea,2009,12.2,CPI2015,Total population,88.4515
2053,Korea,2010,9.6,CPI2010,Total population,100.0
2058,Korea,2010,9.6,CPI2015,Total population,91.05125
2062,Korea,2010,11.4,CPI2010,Total population,100.0
2067,Korea,2010,11.4,CPI2015,Total population,91.05125
2071,Korea,2011,9.8,CPI2010,Total population,104.0258536
2076,Korea,2011,9.8,CPI2015,Total population,94.71684
2080,Korea,2011,10.9,CPI2010,Total population,104.0258536
2085,Korea,2011,10.9,CPI2015,Total population,94.71684
2089,Korea,2012,9.9,CPI2010,Total population,106.3011216
2094,Korea,2012,9.9,CPI2015,Total population,96.7885
2098,Korea,2012,11.5,CPI2010,Total population,106.3011216
2103,Korea,2012,11.5,CPI2015,Total population,96.7885
2109,Korea,2015,10.0,CPI2010,Total population,109.8273445
2113,Korea,2015,10.0,CPI2015,Total population,99.99917
2118,Korea,2015,12.3,CPI2010,Total population,109.8273445
2122,Korea,2015,12.3,CPI2015,Total population,99.99917
2127,Korea,2016,10.0,CPI2010,Total population,110.8944688
2131,Korea,2016,10.0,CPI2015,Total population,100.9708
