,Country,Year,Value_union_x,MEASURE_x,Age group_x,Value_gini_cpi_x,Value_union_y,MEASURE_y,Age group_y,Value_gini_cpi_y
45,Poland,2012,15.4,GINI,Total population,0.3,15.4,CPI2010,Total population,107.9507106
46,Poland,2012,15.4,GINI,Total population,0.3,15.4,CPI2015,Total population,99.8372
47,Poland,2012,15.4,GINI,Total population,0.3,15.4,CPI2015,Total population,99.8372
48,Poland,2014,15.0,GINI,Total population,0.297,15.0,CPI2010,Total population,109.08020259999998
49,Poland,2014,15.0,GINI,Total population,0.297,15.0,CPI2015,Total population,100.8818
50,Poland,2016,12.7,GINI,Total population,0.285,12.7,CPI2010,Total population,107.4079577
51,Poland,2016,12.7,GINI,Total population,0.285,12.7,CPI2015,Total population,99.33524
52,Mexico,2010,13.8,GINI,Total population,0.466,13.8,CPI2010,Total population,100.0
53,Mexico,2010,13.8,GINI,Total population,0.466,13.8,CPI2015,Total population,83.74461
54,Mexico,2010,13.8,GINI,Total population,0.466,14.5,CPI2010,Total population,100.0
55,Mexico,2010,13.8,GINI,Total population,0.466,14.5,CPI2015,Total population,83.74461
56,Mexico,2010,14.5,GINI,Total population,0.466,13.8,CPI2010,Total population,100.0
57,Mexico,2010,14.5,GINI,Total population,0.466,13.8,CPI2015,Total population,83.74461
58,Mexico,2010,14.5,GINI,Total population,0.466,14.5,CPI2010,Total population,100.0
59,Mexico,2010,14.5,GINI,Total population,0.466,14.5,CPI2015,Total population,83.74461
60,Sweden,2009,70.8,GINI,Total population,0.2689999999999999,70.8,CPI2010,Total population,98.8552772
61,Sweden,2009,70.8,GINI,Total population,0.2689999999999999,70.8,CPI2015,Total population,95.42492
62,Sweden,2009,70.8,GINI,Total population,0.2689999999999999,68.4,CPI2010,Total population,98.8552772
63,Sweden,2009,70.8,GINI,Total population,0.2689999999999999,68.4,CPI2015,Total population,95.42492
64,Sweden,2009,68.4,GINI,Total population,0.2689999999999999,70.8,CPI2010,Total population,98.8552772
65,Sweden,2009,68.4,GINI,Total population,0.2689999999999999,70.8,CPI2015,Total population,95.42492
66,Sweden,2009,68.4,GINI,Total population,0.2689999999999999,68.4,CPI2010,Total population,98.8552772
67,Sweden,2009,68.4,GINI,Total population,0.2689999999999999,68.4,CPI2015,Total population,95.42492
68,Sweden,2010,70.2,GINI,Total population,0.2689999999999999,70.2,CPI2010,Total population,100.0
69,Sweden,2010,70.2,GINI,Total population,0.2689999999999999,70.2,CPI2015,Total population,96.52992
70,Sweden,2010,70.2,GINI,Total population,0.2689999999999999,68.2,CPI2010,Total population,100.0
71,Sweden,2010,70.2,GINI,Total population,0.2689999999999999,68.2,CPI2015,Total population,96.52992
72,Sweden,2010,68.2,GINI,Total population,0.2689999999999999,70.2,CPI2010,Total population,100.0
73,Sweden,2010,68.2,GINI,Total population,0.2689999999999999,70.2,CPI2015,Total population,96.52992
74,Sweden,2010,68.2,GINI,Total population,0.2689999999999999,68.2,CPI2010,Total population,100.0
75,Sweden,2010,68.2,GINI,Total population,0.2689999999999999,68.2,CPI2015,Total population,96.52992
76,Sweden,2011,68.3,GINI,Total population,0.273,68.3,CPI2010,Total population,102.9611544
77,Sweden,2011,68.3,GINI,Total population,0.273,68.3,CPI2015,Total population,99.38832
78,Sweden,2011,68.3,GINI,Total population,0.273,67.5,CPI2010,Total population,102.9611544
79,Sweden,2011,68.3,GINI,Total population,0.273,67.5,CPI2015,Total population,99.38832
80,Sweden,2011,67.5,GINI,Total population,0.273,68.3,CPI2010,Total population,102.9611544
81,Sweden,2011,67.5,GINI,Total population,0.273,68.3,CPI2015,Total population,99.38832
82,Sweden,2011,67.5,GINI,Total population,0.273,67.5,CPI2010,Total population,102.9611544
83,Sweden,2011,67.5,GINI,Total population,0.273,67.5,CPI2015,Total population,99.38832
84,Sweden,2013,68.0,GINI,Total population,0.268,68.0,CPI2010,Total population,103.8298799
85,Sweden,2013,68.0,GINI,Total population,0.268,68.0,CPI2015,Total population,100.2269
86,Sweden,2013,68.0,GINI,Total population,0.268,67.7,CPI2010,Total population,103.8298799
87,Sweden,2013,68.0,GINI,Total population,0.268,67.7,CPI2015,Total population,100.2269
88,Sweden,2013,67.7,GINI,Total population,0.268,68.0,CPI2010,Total population,103.8298799
89,Sweden,2013,67.7,GINI,Total population,0.268,68.0,CPI2015,Total population,100.2269
90,Sweden,2013,67.7,GINI,Total population,0.268,67.7,CPI2010,Total population,103.8298799
91,Sweden,2013,67.7,GINI,Total population,0.268,67.7,CPI2015,Total population,100.2269
92,Sweden,2014,67.7,GINI,Total population,0.2739999999999999,67.7,CPI2010,Total population,103.6433056
93,Sweden,2014,67.7,GINI,Total population,0.2739999999999999,67.7,CPI2015,Total population,100.0468
94,Sweden,2014,67.7,GINI,Total population,0.2739999999999999,67.3,CPI2010,Total population,103.6433056
95,Sweden,2014,67.7,GINI,Total population,0.2739999999999999,67.3,CPI2015,Total population,100.0468
96,Sweden,2014,67.3,GINI,Total population,0.2739999999999999,67.7,CPI2010,Total population,103.6433056
97,Sweden,2014,67.3,GINI,Total population,0.2739999999999999,67.7,CPI2015,Total population,100.0468
98,Sweden,2014,67.3,GINI,Total population,0.2739999999999999,67.3,CPI2010,Total population,103.6433056
99,Sweden,2014,67.3,GINI,Total population,0.2739999999999999,67.3,CPI2015,Total population,100.0468
100,Sweden,2015,67.8,GINI,Total population,0.278,67.8,CPI2010,Total population,103.5948232
101,Sweden,2015,67.8,GINI,Total population,0.278,67.8,CPI2015,Total population,100.0
102,Sweden,2015,67.8,GINI,Total population,0.278,67.0,CPI2010,Total population,103.5948232
103,Sweden,2015,67.8,GINI,Total population,0.278,67.0,CPI2015,Total population,100.0
104,Sweden,2015,67.0,GINI,Total population,0.278,67.8,CPI2010,Total population,103.5948232
105,Sweden,2015,67.0,GINI,Total population,0.278,67.8,CPI2015,Total population,100.0
106,Sweden,2015,67.0,GINI,Total population,0.278,67.0,CPI2010,Total population,103.5948232
107,Sweden,2015,67.0,GINI,Total population,0.278,67.0,CPI2015,Total population,100.0
108,Sweden,2016,66.9,GINI,Total population,0.282,66.9,CPI2010,Total population,104.6145071
109,Sweden,2016,66.9,GINI,Total population,0.282,66.9,CPI2015,Total population,100.9843
110,Sweden,2016,66.9,GINI,Total population,0.282,66.7,CPI2010,Total population,104.6145071
111,Sweden,2016,66.9,GINI,Total population,0.282,66.7,CPI2015,Total population,100.9843
112,Sweden,2016,66.7,GINI,Total population,0.282,66.9,CPI2010,Total population,104.6145071
113,Sweden,2016,66.7,GINI,Total population,0.282,66.9,CPI2015,Total population,100.9843
114,Sweden,2016,66.7,GINI,Total population,0.282,66.7,CPI2010,Total population,104.6145071
115,Sweden,2016,66.7,GINI,Total population,0.282,66.7,CPI2015,Total population,100.9843
116,Sweden,2017,65.6,GINI,Total population,0.282,65.6,CPI2010,Total population,106.4917489
117,Sweden,2017,65.6,GINI,Total population,0.282,65.6,CPI2015,Total population,102.7964
118,Sweden,2017,65.6,GINI,Total population,0.282,66.1,CPI2010,Total population,106.4917489
119,Sweden,2017,65.6,GINI,Total population,0.282,66.1,CPI2015,Total population,102.7964
120,Sweden,2017,66.1,GINI,Total population,0.282,65.6,CPI2010,Total population,106.4917489
121,Sweden,2017,66.1,GINI,Total population,0.282,65.6,CPI2015,Total population,102.7964
122,Sweden,2017,66.1,GINI,Total population,0.282,66.1,CPI2010,Total population,106.4917489
123,Sweden,2017,66.1,GINI,Total population,0.282,66.1,CPI2015,Total population,102.7964
124,France,2009,8.8,GINI,Total population,0.293,8.8,CPI2010,Total population,98.49197065
125,France,2009,8.8,GINI,Total population,0.293,8.8,CPI2015,Total population,93.28667
126,France,2010,9.0,GINI,Total population,0.303,9.0,CPI2010,Total population,100.0
127,France,2010,9.0,GINI,Total population,0.303,9.0,CPI2015,Total population,94.715
128,France,2010,9.0,GINI,Total population,0.303,10.8,CPI2010,Total population,100.0
129,France,2010,9.0,GINI,Total population,0.303,10.8,CPI2015,Total population,94.715
130,France,2010,10.8,GINI,Total population,0.303,9.0,CPI2010,Total population,100.0
131,France,2010,10.8,GINI,Total population,0.303,9.0,CPI2015,Total population,94.715
132,France,2010,10.8,GINI,Total population,0.303,10.8,CPI2010,Total population,100.0
133,France,2010,10.8,GINI,Total population,0.303,10.8,CPI2015,Total population,94.715
134,France,2011,9.1,GINI,Total population,0.309,9.1,CPI2010,Total population,102.111598
135,France,2011,9.1,GINI,Total population,0.309,9.1,CPI2015,Total population,96.715
136,France,2012,9.1,GINI,Total population,0.305,9.1,CPI2010,Total population,104.107058
137,France,2012,9.1,GINI,Total population,0.305,9.1,CPI2015,Total population,98.605
138,France,2013,9.0,GINI,Total population,0.291,9.0,CPI2010,Total population,105.0062503
139,France,2013,9.0,GINI,Total population,0.291,9.0,CPI2015,Total population,99.45667
140,France,2013,9.0,GINI,Total population,0.291,11.0,CPI2010,Total population,105.0062503
141,France,2013,9.0,GINI,Total population,0.291,11.0,CPI2015,Total population,99.45667
142,France,2013,11.0,GINI,Total population,0.291,9.0,CPI2010,Total population,105.0062503
143,France,2013,11.0,GINI,Total population,0.291,9.0,CPI2015,Total population,99.45667
144,France,2013,11.0,GINI,Total population,0.291,11.0,CPI2010,Total population,105.0062503
145,France,2013,11.0,GINI,Total population,0.291,11.0,CPI2015,Total population,99.45667
146,France,2014,9.0,GINI,Total population,0.293,9.0,CPI2010,Total population,105.5394288
147,France,2014,9.0,GINI,Total population,0.293,9.0,CPI2015,Total population,99.96167
148,France,2015,9.0,GINI,Total population,0.295,9.0,CPI2010,Total population,105.5790213
149,France,2015,9.0,GINI,Total population,0.295,9.0,CPI2015,Total population,99.99917
150,France,2016,9.0,GINI,Total population,0.291,9.0,CPI2010,Total population,105.7725809
151,France,2016,9.0,GINI,Total population,0.291,9.0,CPI2015,Total population,100.1825
152,France,2016,9.0,GINI,Total population,0.291,10.8,CPI2010,Total population,105.7725809
153,France,2016,9.0,GINI,Total population,0.291,10.8,CPI2015,Total population,100.1825
154,France,2016,10.8,GINI,Total population,0.291,9.0,CPI2010,Total population,105.7725809
155,France,2016,10.8,GINI,Total population,0.291,9.0,CPI2015,Total population,100.1825
156,France,2016,10.8,GINI,Total population,0.291,10.8,CPI2010,Total population,105.7725809
157,France,2016,10.8,GINI,Total population,0.291,10.8,CPI2015,Total population,100.1825
158,France,2017,8.9,GINI,Total population,0.292,8.9,CPI2010,Total population,106.8644882
159,France,2017,8.9,GINI,Total population,0.292,8.9,CPI2015,Total population,101.2167
160,France,2018,8.8,GINI,Total population,0.301,8.8,CPI2010,Total population,108.84231640000002
161,France,2018,8.8,GINI,Total population,0.301,8.8,CPI2015,Total population,103.09
162,Norway,2009,49.8,GINI,Total population,0.245,49.8,CPI2010,Total population,97.63821201
163,Norway,2009,49.8,GINI,Total population,0.245,49.8,CPI2010,Total population,97.63821201
164,Norway,2009,49.8,GINI,Total population,0.245,49.8,CPI2015,Total population,89.91666
165,Norway,2009,49.8,GINI,Total population,0.245,49.8,CPI2015,Total population,89.91666
166,Norway,2009,49.8,GINI,Total population,0.245,49.8,CPI2010,Total population,97.63821201
167,Norway,2009,49.8,GINI,Total population,0.245,49.8,CPI2010,Total population,97.63821201
168,Norway,2009,49.8,GINI,Total population,0.245,49.8,CPI2015,Total population,89.91666
169,Norway,2009,49.8,GINI,Total population,0.245,49.8,CPI2015,Total population,89.91666
170,Norway,2010,50.0,GINI,Total population,0.249,50.0,CPI2010,Total population,100.0
171,Norway,2010,50.0,GINI,Total population,0.249,50.0,CPI2010,Total population,100.0
172,Norway,2010,50.0,GINI,Total population,0.249,50.0,CPI2015,Total population,92.09167
173,Norway,2010,50.0,GINI,Total population,0.249,50.0,CPI2015,Total population,92.09167
174,Norway,2010,50.0,GINI,Total population,0.249,50.0,CPI2010,Total population,100.0
175,Norway,2010,50.0,GINI,Total population,0.249,50.0,CPI2010,Total population,100.0
176,Norway,2010,50.0,GINI,Total population,0.249,50.0,CPI2015,Total population,92.09167
177,Norway,2010,50.0,GINI,Total population,0.249,50.0,CPI2015,Total population,92.09167
178,Norway,2011,49.3,GINI,Total population,0.25,49.3,CPI2010,Total population,101.2849479
179,Norway,2011,49.3,GINI,Total population,0.25,49.3,CPI2010,Total population,101.2849479
180,Norway,2011,49.3,GINI,Total population,0.25,49.3,CPI2015,Total population,93.275
181,Norway,2011,49.3,GINI,Total population,0.25,49.3,CPI2015,Total population,93.275
182,Norway,2011,49.3,GINI,Total population,0.25,49.3,CPI2010,Total population,101.2849479
183,Norway,2011,49.3,GINI,Total population,0.25,49.3,CPI2010,Total population,101.2849479
184,Norway,2011,49.3,GINI,Total population,0.25,49.3,CPI2015,Total population,93.275
185,Norway,2011,49.3,GINI,Total population,0.25,49.3,CPI2015,Total population,93.275
186,Norway,2012,49.3,GINI,Total population,0.253,49.3,CPI2010,Total population,101.9907664
187,Norway,2012,49.3,GINI,Total population,0.253,49.3,CPI2015,Total population,93.925
188,Norway,2013,49.3,GINI,Total population,0.252,49.3,CPI2010,Total population,104.1534593
189,Norway,2013,49.3,GINI,Total population,0.252,49.3,CPI2015,Total population,95.91666
190,Norway,2013,49.3,GINI,Total population,0.252,52.0,CPI2010,Total population,104.1534593
191,Norway,2013,49.3,GINI,Total population,0.252,52.0,CPI2015,Total population,95.91666
192,Norway,2013,52.0,GINI,Total population,0.252,49.3,CPI2010,Total population,104.1534593
193,Norway,2013,52.0,GINI,Total population,0.252,49.3,CPI2015,Total population,95.91666
194,Norway,2013,52.0,GINI,Total population,0.252,52.0,CPI2010,Total population,104.1534593
195,Norway,2013,52.0,GINI,Total population,0.252,52.0,CPI2015,Total population,95.91666
196,Norway,2014,49.7,GINI,Total population,0.257,49.7,CPI2010,Total population,106.2799708
197,Norway,2014,49.7,GINI,Total population,0.257,49.7,CPI2015,Total population,97.875
198,Norway,2014,49.7,GINI,Total population,0.257,54.0,CPI2010,Total population,106.2799708
199,Norway,2014,49.7,GINI,Total population,0.257,54.0,CPI2015,Total population,97.875
200,Norway,2014,54.0,GINI,Total population,0.257,49.7,CPI2010,Total population,106.2799708
201,Norway,2014,54.0,GINI,Total population,0.257,49.7,CPI2015,Total population,97.875
202,Norway,2014,54.0,GINI,Total population,0.257,54.0,CPI2010,Total population,106.2799708
203,Norway,2014,54.0,GINI,Total population,0.257,54.0,CPI2015,Total population,97.875
204,Norway,2015,49.3,GINI,Total population,0.272,49.3,CPI2010,Total population,108.5874542
205,Norway,2015,49.3,GINI,Total population,0.272,49.3,CPI2015,Total population,100.0
206,Norway,2016,49.3,GINI,Total population,0.262,49.3,CPI2010,Total population,112.4423088
207,Norway,2016,49.3,GINI,Total population,0.262,49.3,CPI2015,Total population,103.55
208,Norway,2016,49.3,GINI,Total population,0.262,52.0,CPI2010,Total population,112.4423088
209,Norway,2016,49.3,GINI,Total population,0.262,52.0,CPI2015,Total population,103.55
210,Norway,2016,52.0,GINI,Total population,0.262,49.3,CPI2010,Total population,112.4423088
211,Norway,2016,52.0,GINI,Total population,0.262,49.3,CPI2015,Total population,103.55
212,Norway,2016,52.0,GINI,Total population,0.262,52.0,CPI2010,Total population,112.4423088
213,Norway,2016,52.0,GINI,Total population,0.262,52.0,CPI2015,Total population,103.55
214,Norway,2017,49.3,GINI,Total population,0.262,49.3,CPI2010,Total population,114.5507514
215,Norway,2017,49.3,GINI,Total population,0.262,49.3,CPI2015,Total population,105.4917
216,Norway,2017,49.3,GINI,Total population,0.262,51.3,CPI2010,Total population,114.5507514
217,Norway,2017,49.3,GINI,Total population,0.262,51.3,CPI2015,Total population,105.4917
218,Norway,2017,51.3,GINI,Total population,0.262,49.3,CPI2010,Total population,114.5507514
219,Norway,2017,51.3,GINI,Total population,0.262,49.3,CPI2015,Total population,105.4917
220,Norway,2017,51.3,GINI,Total population,0.262,51.3,CPI2010,Total population,114.5507514
221,Norway,2017,51.3,GINI,Total population,0.262,51.3,CPI2015,Total population,105.4917
222,Norway,2018,49.2,GINI,Total population,0.262,49.2,CPI2010,Total population,117.7178131
223,Norway,2018,49.2,GINI,Total population,0.262,49.2,CPI2015,Total population,108.4083
224,Iceland,2011,83.4,GINI,Total population,0.252,83.4,CPI2010,Total population,104.0010243
225,Iceland,2011,83.4,GINI,Total population,0.252,83.4,CPI2010,Total population,104.0010243
226,Iceland,2011,83.4,GINI,Total population,0.252,83.4,CPI2015,Total population,88.25061
227,Iceland,2011,83.4,GINI,Total population,0.252,83.4,CPI2015,Total population,88.25061
228,Iceland,2011,83.4,GINI,Total population,0.252,85.0,CPI2010,Total population,104.0010243
229,Iceland,2011,83.4,GINI,Total population,0.252,85.0,CPI2010,Total population,104.0010243
230,Iceland,2011,83.4,GINI,Total population,0.252,85.0,CPI2015,Total population,88.25061
231,Iceland,2011,83.4,GINI,Total population,0.252,85.0,CPI2015,Total population,88.25061
232,Iceland,2011,83.4,GINI,Total population,0.25,83.4,CPI2010,Total population,104.0010243
233,Iceland,2011,83.4,GINI,Total population,0.25,83.4,CPI2010,Total population,104.0010243
234,Iceland,2011,83.4,GINI,Total population,0.25,83.4,CPI2015,Total population,88.25061
235,Iceland,2011,83.4,GINI,Total population,0.25,83.4,CPI2015,Total population,88.25061
236,Iceland,2011,83.4,GINI,Total population,0.25,85.0,CPI2010,Total population,104.0010243
237,Iceland,2011,83.4,GINI,Total population,0.25,85.0,CPI2010,Total population,104.0010243
238,Iceland,2011,83.4,GINI,Total population,0.25,85.0,CPI2015,Total population,88.25061
239,Iceland,2011,83.4,GINI,Total population,0.25,85.0,CPI2015,Total population,88.25061
240,Iceland,2011,85.0,GINI,Total population,0.252,83.4,CPI2010,Total population,104.0010243
241,Iceland,2011,85.0,GINI,Total population,0.252,83.4,CPI2010,Total population,104.0010243
242,Iceland,2011,85.0,GINI,Total population,0.252,83.4,CPI2015,Total population,88.25061
243,Iceland,2011,85.0,GINI,Total population,0.252,83.4,CPI2015,Total population,88.25061
244,Iceland,2011,85.0,GINI,Total population,0.252,85.0,CPI2010,Total population,104.0010243
245,Iceland,2011,85.0,GINI,Total population,0.252,85.0,CPI2010,Total population,104.0010243
246,Iceland,2011,85.0,GINI,Total population,0.252,85.0,CPI2015,Total population,88.25061
247,Iceland,2011,85.0,GINI,Total population,0.252,85.0,CPI2015,Total population,88.25061
248,Iceland,2011,85.0,GINI,Total population,0.25,83.4,CPI2010,Total population,104.0010243
249,Iceland,2011,85.0,GINI,Total population,0.25,83.4,CPI2010,Total population,104.0010243
250,Iceland,2011,85.0,GINI,Total population,0.25,83.4,CPI2015,Total population,88.25061
251,Iceland,2011,85.0,GINI,Total population,0.25,83.4,CPI2015,Total population,88.25061
252,Iceland,2011,85.0,GINI,Total population,0.25,85.0,CPI2010,Total population,104.0010243
253,Iceland,2011,85.0,GINI,Total population,0.25,85.0,CPI2010,Total population,104.0010243
254,Iceland,2011,85.0,GINI,Total population,0.25,85.0,CPI2015,Total population,88.25061
255,Iceland,2011,85.0,GINI,Total population,0.25,85.0,CPI2015,Total population,88.25061
256,Iceland,2013,87.8,GINI,Total population,0.24,87.8,CPI2010,Total population,113.6304627
257,Iceland,2013,87.8,GINI,Total population,0.24,87.8,CPI2010,Total population,113.6304627
258,Iceland,2013,87.8,GINI,Total population,0.24,87.8,CPI2015,Total population,96.42172
259,Iceland,2013,87.8,GINI,Total population,0.24,87.8,CPI2015,Total population,96.42172
260,Iceland,2013,87.8,GINI,Total population,0.24,88.9,CPI2010,Total population,113.6304627
261,Iceland,2013,87.8,GINI,Total population,0.24,88.9,CPI2010,Total population,113.6304627
262,Iceland,2013,87.8,GINI,Total population,0.24,88.9,CPI2015,Total population,96.42172
263,Iceland,2013,87.8,GINI,Total population,0.24,88.9,CPI2015,Total population,96.42172
264,Iceland,2013,87.8,GINI,Total population,0.24,87.8,CPI2010,Total population,113.6304627
265,Iceland,2013,87.8,GINI,Total population,0.24,87.8,CPI2010,Total population,113.6304627
266,Iceland,2013,87.8,GINI,Total population,0.24,87.8,CPI2015,Total population,96.42172
267,Iceland,2013,87.8,GINI,Total population,0.24,87.8,CPI2015,Total population,96.42172
268,Iceland,2013,87.8,GINI,Total population,0.24,88.9,CPI2010,Total population,113.6304627
269,Iceland,2013,87.8,GINI,Total population,0.24,88.9,CPI2010,Total population,113.6304627
270,Iceland,2013,87.8,GINI,Total population,0.24,88.9,CPI2015,Total population,96.42172
271,Iceland,2013,87.8,GINI,Total population,0.24,88.9,CPI2015,Total population,96.42172
272,Iceland,2013,88.9,GINI,Total population,0.24,87.8,CPI2010,Total population,113.6304627
273,Iceland,2013,88.9,GINI,Total population,0.24,87.8,CPI2010,Total population,113.6304627
274,Iceland,2013,88.9,GINI,Total population,0.24,87.8,CPI2015,Total population,96.42172
275,Iceland,2013,88.9,GINI,Total population,0.24,87.8,CPI2015,Total population,96.42172
276,Iceland,2013,88.9,GINI,Total population,0.24,88.9,CPI2010,Total population,113.6304627
277,Iceland,2013,88.9,GINI,Total population,0.24,88.9,CPI2010,Total population,113.6304627
278,Iceland,2013,88.9,GINI,Total population,0.24,88.9,CPI2015,Total population,96.42172
279,Iceland,2013,88.9,GINI,Total population,0.24,88.9,CPI2015,Total population,96.42172
280,Iceland,2013,88.9,GINI,Total population,0.24,87.8,CPI2010,Total population,113.6304627
281,Iceland,2013,88.9,GINI,Total population,0.24,87.8,CPI2010,Total population,113.6304627
282,Iceland,2013,88.9,GINI,Total population,0.24,87.8,CPI2015,Total population,96.42172
283,Iceland,2013,88.9,GINI,Total population,0.24,87.8,CPI2015,Total population,96.42172
284,Iceland,2013,88.9,GINI,Total population,0.24,88.9,CPI2010,Total population,113.6304627
285,Iceland,2013,88.9,GINI,Total population,0.24,88.9,CPI2010,Total population,113.6304627
286,Iceland,2013,88.9,GINI,Total population,0.24,88.9,CPI2015,Total population,96.42172
287,Iceland,2013,88.9,GINI,Total population,0.24,88.9,CPI2015,Total population,96.42172
288,Iceland,2015,90.0,GINI,Total population,0.257,90.0,CPI2010,Total population,117.8473716
289,Iceland,2015,90.0,GINI,Total population,0.257,90.0,CPI2015,Total population,100.0
290,Iceland,2015,90.0,GINI,Total population,0.257,91.6,CPI2010,Total population,117.8473716
291,Iceland,2015,90.0,GINI,Total population,0.257,91.6,CPI2015,Total population,100.0
292,Iceland,2015,91.6,GINI,Total population,0.257,90.0,CPI2010,Total population,117.8473716
293,Iceland,2015,91.6,GINI,Total population,0.257,90.0,CPI2015,Total population,100.0
294,Iceland,2015,91.6,GINI,Total population,0.257,91.6,CPI2010,Total population,117.8473716
295,Iceland,2015,91.6,GINI,Total population,0.257,91.6,CPI2015,Total population,100.0
296,Iceland,2016,89.8,GINI,Total population,0.264,89.8,CPI2010,Total population,119.8471237
297,Iceland,2016,89.8,GINI,Total population,0.264,89.8,CPI2015,Total population,101.6969
298,Iceland,2016,89.8,GINI,Total population,0.264,90.4,CPI2010,Total population,119.8471237
299,Iceland,2016,89.8,GINI,Total population,0.264,90.4,CPI2015,Total population,101.6969
300,Iceland,2016,90.4,GINI,Total population,0.264,89.8,CPI2010,Total population,119.8471237
301,Iceland,2016,90.4,GINI,Total population,0.264,89.8,CPI2015,Total population,101.6969
302,Iceland,2016,90.4,GINI,Total population,0.264,90.4,CPI2010,Total population,119.8471237
303,Iceland,2016,90.4,GINI,Total population,0.264,90.4,CPI2015,Total population,101.6969
304,Latvia,2009,15.1,GINI,Total population,0.354,15.1,CPI2010,Total population,101.0965275
305,Latvia,2009,15.1,GINI,Total population,0.354,15.1,CPI2010,Total population,101.0965275
306,Latvia,2009,15.1,GINI,Total population,0.354,15.1,CPI2015,Total population,94.00404
307,Latvia,2009,15.1,GINI,Total population,0.354,15.1,CPI2015,Total population,94.00404
