,Country,Year,Value_union,MEASURE,Age group,Value_gini_cpi
2466,Netherlands,2011,18.4,GINI,Total population,0.289
2484,Netherlands,2012,17.9,GINI,Total population,0.288
2520,Netherlands,2013,17.8,GINI,Total population,0.287
2538,Turkey,2013,6.3,GINI,Total population,0.39
2547,Turkey,2014,6.9,GINI,Total population,0.3979999999999999
2556,Turkey,2015,8.0,GINI,Total population,0.4039999999999999
2565,Greece,2010,22.2,GINI,Total population,0.336
2583,Greece,2013,23.1,GINI,Total population,0.342
2601,Greece,2016,20.2,GINI,Total population,0.3329999999999999
2610,Austria,2009,29.3,GINI,Total population,0.289
2619,Austria,2010,28.9,GINI,Total population,0.28
2628,Austria,2011,28.3,GINI,Total population,0.281
2637,Austria,2012,28.0,GINI,Total population,0.276
2646,Austria,2013,27.8,GINI,Total population,0.28
2655,Austria,2014,27.7,GINI,Total population,0.2739999999999999
2664,Austria,2015,27.4,GINI,Total population,0.275
2673,Austria,2016,26.9,GINI,Total population,0.284
2682,Austria,2017,26.7,GINI,Total population,0.275
2691,Austria,2018,26.3,GINI,Total population,0.28
2700,Denmark,2009,67.7,GINI,Total population,0.238
2709,Denmark,2010,67.2,GINI,Total population,0.252
2718,Denmark,2011,67.8,GINI,Total population,0.251
2736,Denmark,2012,68.0,GINI,Total population,0.249
2745,Denmark,2013,67.8,GINI,Total population,0.254
2754,Denmark,2014,67.4,GINI,Total population,0.256
2763,Denmark,2015,67.1,GINI,Total population,0.263
2772,Denmark,2016,65.5,GINI,Total population,0.261
2781,Denmark,2017,66.1,GINI,Total population,0.264
2790,Estonia,2018,4.3,GINI,Total population,0.305
2799,Slovak Republic,2009,16.0,GINI,Total population,0.267
2817,Slovak Republic,2010,15.2,GINI,Total population,0.265
2835,Slovak Republic,2011,14.1,GINI,Total population,0.262
2853,Slovak Republic,2012,13.6,GINI,Total population,0.251
2871,Slovak Republic,2013,13.3,GINI,Total population,0.27
2889,Slovak Republic,2014,12.8,GINI,Total population,0.247
2898,Slovak Republic,2015,11.7,GINI,Total population,0.25
2907,Slovak Republic,2016,10.7,GINI,Total population,0.241
2916,Slovenia,2009,37.1,GINI,Total population,0.245
2934,Slovenia,2010,29.6,GINI,Total population,0.245
2952,Slovenia,2011,33.1,GINI,Total population,0.243
2970,Slovenia,2012,23.9,GINI,Total population,0.249
2988,Slovenia,2013,23.2,GINI,Total population,0.254
3006,Slovenia,2014,26.4,GINI,Total population,0.251
3015,Slovenia,2015,20.9,GINI,Total population,0.25
3024,Slovenia,2016,20.4,GINI,Total population,0.244
3033,Japan,2009,18.4,GINI,Total population,0.336
3051,Japan,2012,17.9,GINI,Total population,0.33
3069,Japan,2015,17.4,GINI,Total population,0.3389999999999999
3078,Hungary,2012,11.8,GINI,Total population,0.2789999999999999
3096,Hungary,2013,11.1,GINI,Total population,0.286
3105,Hungary,2014,10.2,GINI,Total population,0.281
3114,Hungary,2016,8.5,GINI,Total population,0.28
3123,Hungary,2017,8.1,GINI,Total population,0.289
3132,Hungary,2018,7.9,GINI,Total population,0.313
3141,Iceland,2009,84.9,GINI,Total population,0.266
3159,Iceland,2010,85.2,GINI,Total population,0.248
3177,Iceland,2012,85.3,GINI,Total population,0.252
3195,Iceland,2014,90.4,GINI,Total population,0.246
3204,Iceland,2017,91.0,GINI,Total population,0.25
3213,Mexico,2012,14.0,GINI,Total population,0.457
3231,Mexico,2014,13.6,GINI,Total population,0.4589999999999999
3240,Mexico,2016,12.7,GINI,Total population,0.4579999999999999
3249,Czech Republic,2009,16.7,GINI,Total population,0.257
3267,Czech Republic,2010,16.1,GINI,Total population,0.26
3285,Czech Republic,2011,15.4,GINI,Total population,0.257
3303,Czech Republic,2012,14.8,GINI,Total population,0.254
3321,Czech Republic,2013,13.6,GINI,Total population,0.259
3339,Czech Republic,2014,12.9,GINI,Total population,0.257
3348,Czech Republic,2015,12.0,GINI,Total population,0.258
3357,Czech Republic,2016,12.0,GINI,Total population,0.253
3366,Czech Republic,2017,11.7,GINI,Total population,0.249
3375,Czech Republic,2018,11.5,GINI,Total population,0.249
3384,Sweden,2018,64.9,GINI,Total population,0.275
3393,Germany,2009,18.8,GINI,Total population,0.288
3402,Germany,2010,18.9,GINI,Total population,0.286
3411,Germany,2011,18.4,GINI,Total population,0.291
3429,Germany,2012,18.3,GINI,Total population,0.289
3438,Germany,2013,18.0,GINI,Total population,0.292
3447,Germany,2014,17.7,GINI,Total population,0.289
3456,Germany,2015,17.6,GINI,Total population,0.293
3465,Germany,2016,17.0,GINI,Total population,0.294
3474,Germany,2017,16.7,GINI,Total population,0.289
3483,Portugal,2010,19.6,GINI,Total population,0.341
3501,Portugal,2011,18.7,GINI,Total population,0.337
3519,Portugal,2015,16.1,GINI,Total population,0.336
3528,Portugal,2016,15.3,GINI,Total population,0.331
3537,Netherlands,2014,18.1,GINI,Total population,0.303
3546,Netherlands,2015,17.7,GINI,Total population,0.288
3555,Netherlands,2016,17.3,GINI,Total population,0.285
3564,Israel,2017,25.0,GINI,Total population,0.344
3573,Canada,2016,26.3,GINI,Total population,0.307
3582,Canada,2017,26.3,GINI,Total population,0.31
3591,Canada,2018,25.9,GINI,Total population,0.303
3600,New Zealand,2009,21.5,GINI,Total population,0.324
3609,New Zealand,2011,20.5,GINI,Total population,0.3229999999999999
3627,New Zealand,2012,20.3,GINI,Total population,0.3329999999999999
3636,New Zealand,2014,18.5,GINI,Total population,0.349
3645,Italy,2009,34.7,GINI,Total population,0.315
3663,Italy,2010,35.5,GINI,Total population,0.327
3681,Italy,2011,35.8,GINI,Total population,0.327
3699,Italy,2012,36.3,GINI,Total population,0.33
3717,Italy,2013,36.8,GINI,Total population,0.325
3735,Italy,2014,36.4,GINI,Total population,0.326
3744,Italy,2015,35.7,GINI,Total population,0.3329999999999999
3753,Italy,2016,34.4,GINI,Total population,0.327
3762,Italy,2017,34.3,GINI,Total population,0.3339999999999999
3771,Ireland,2012,30.1,GINI,Total population,0.31
3789,Ireland,2014,26.3,GINI,Total population,0.298
3798,Ireland,2015,25.4,GINI,Total population,0.298
3807,Lithuania,2009,10.0,GINI,Total population,0.365
3825,Lithuania,2010,10.1,GINI,Total population,0.3289999999999999
3843,Lithuania,2011,9.7,GINI,Total population,0.321
3861,Lithuania,2012,9.0,GINI,Total population,0.35
3879,Lithuania,2013,8.4,GINI,Total population,0.351
3897,Lithuania,2014,8.1,GINI,Total population,0.38
3906,Lithuania,2015,7.9,GINI,Total population,0.372
3915,Lithuania,2016,7.7,GINI,Total population,0.3779999999999999
3924,Lithuania,2017,7.7,GINI,Total population,0.374
3933,Lithuania,2018,7.1,GINI,Total population,0.361
3942,United States,2009,11.8,GINI,Total population,0.379
3951,United States,2010,11.4,GINI,Total population,0.38
3960,United States,2011,11.3,GINI,Total population,0.389
3969,United States,2012,10.8,GINI,Total population,0.389
3978,United States,2013,10.8,GINI,Total population,0.396
3987,United States,2014,10.7,GINI,Total population,0.3939999999999999
3996,United States,2015,10.6,GINI,Total population,0.39
4005,United States,2016,10.3,GINI,Total population,0.391
4014,United States,2017,10.3,GINI,Total population,0.39
